0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000
1,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
2,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
3,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
4,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
5,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
6,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
7,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
8,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
9,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
10,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
11,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
12,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
13,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
14,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
15,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
16,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
17,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
18,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
19,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
20,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
21,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
22,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
23,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
24,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
25,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
26,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
27,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
28,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
29,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
30,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
31,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
32,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
33,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
34,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
35,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
36,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
37,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
38,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
39,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
40,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,2}]=>(?n) RETURN ?p LIMIT 100000
41,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
42,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
43,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
44,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
45,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
46,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
47,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
48,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
49,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
50,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
51,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
52,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
53,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
54,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
55,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
56,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
57,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
58,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
59,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
60,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
61,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
62,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
63,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
64,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
65,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
66,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
67,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
68,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
69,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
70,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
71,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
72,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
73,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
74,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
75,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
76,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
77,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
78,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
79,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
80,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,4}]=>(?n) RETURN ?p LIMIT 100000
81,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
82,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
83,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
84,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
85,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
86,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
87,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
88,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
89,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
90,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
91,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
92,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
93,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
94,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
95,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
96,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
97,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
98,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
99,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
100,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
101,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
102,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
