query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,99,116,45.02
1,MATCH (N0)=[ALL SHORTEST ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,2,4,45.02
2,MATCH (N0)=[ALL SHORTEST ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,45.02
3,MATCH (N0)=[ALL SHORTEST ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,45.02
4,MATCH (N0)=[ALL SHORTEST ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,45.02
5,MATCH (N0)=[ALL SHORTEST ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,45.02
6,MATCH (N0)=[ALL SHORTEST ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,4,45.02
7,MATCH (N0)=[ALL SHORTEST ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,6,45.02
8,MATCH (N0)=[ALL SHORTEST ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,6,9,45.02
9,MATCH (N0)=[ALL SHORTEST ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,14,18,45.02
10,MATCH (N0)=[ALL SHORTEST ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,31,34,45.02
11,MATCH (N0)=[ALL SHORTEST ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,68,72,45.02
12,MATCH (N0)=[ALL SHORTEST ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,134,140,45.02
13,MATCH (N0)=[ALL SHORTEST ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,282,290,45.02
14,MATCH (N0)=[ALL SHORTEST ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,592,607,45.02
15,MATCH (N0)=[ALL SHORTEST ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,997,1022,45.02
16,MATCH (N0)=[ALL SHORTEST ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,991,1016,45.02
17,MATCH (N0)=[ALL SHORTEST ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,993,1018,45.02
18,MATCH (N0)=[ALL SHORTEST ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,995,1021,45.02
19,MATCH (N0)=[ALL SHORTEST ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,982,1008,45.02
20,MATCH (N0)=[ALL SHORTEST ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,934,959,45.27
21,MATCH (N0)=[ALL SHORTEST ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,957,982,45.53
22,MATCH (N0)=[ALL SHORTEST ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,929,955,45.78
23,MATCH (N0)=[ALL SHORTEST ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,999,1025,46.12
24,MATCH (N0)=[ALL SHORTEST ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,933,959,46.38
25,MATCH (N0)=[ALL SHORTEST ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,959,984,46.63
26,MATCH (N0)=[ALL SHORTEST ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1003,1029,46.63
27,MATCH (N0)=[ALL SHORTEST ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,947,972,46.88
28,MATCH (N0)=[ALL SHORTEST ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,949,975,47.14
29,MATCH (N0)=[ALL SHORTEST ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1005,1030,47.39
30,MATCH (N0)=[ALL SHORTEST ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1008,1033,47.64
31,MATCH (N0)=[ALL SHORTEST ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1011,1035,47.9
32,MATCH (N0)=[ALL SHORTEST ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,995,1020,48.15
33,MATCH (N0)=[ALL SHORTEST ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,948,973,48.41
34,MATCH (N0)=[ALL SHORTEST ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,975,1001,48.66
35,MATCH (N0)=[ALL SHORTEST ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1013,1039,49.18
36,MATCH (N0)=[ALL SHORTEST ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,997,1022,49.43
37,MATCH (N0)=[ALL SHORTEST ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1011,1036,49.69
38,MATCH (N0)=[ALL SHORTEST ?p :E{1..76}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,968,993,50.2
39,MATCH (N0)=[ALL SHORTEST ?p :E{1..78}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,965,990,50.46
40,MATCH (N0)=[ALL SHORTEST ?p :E{1..80}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1013,1038,50.72
