query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,83,103,44.89
1,MATCH (N0)=[ALL TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,18,21,44.89
2,MATCH (N0)=[ALL TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.89
3,MATCH (N0)=[ALL TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.89
4,MATCH (N0)=[ALL TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.89
5,MATCH (N0)=[ALL TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.89
6,MATCH (N0)=[ALL TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,4,44.89
7,MATCH (N0)=[ALL TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,4,6,44.89
8,MATCH (N0)=[ALL TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,8,10,44.89
9,MATCH (N0)=[ALL TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,17,20,44.89
10,MATCH (N0)=[ALL TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,35,39,44.89
11,MATCH (N0)=[ALL TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,77,81,45.15
12,MATCH (N0)=[ALL TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,162,169,45.66
13,MATCH (N0)=[ALL TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,405,414,46.95
14,MATCH (N0)=[ALL TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,767,782,49.78
15,MATCH (N0)=[ALL TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1191,1215,52.92
16,MATCH (N0)=[ALL TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1120,1144,56.07
17,MATCH (N0)=[ALL TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1121,1146,59.22
18,MATCH (N0)=[ALL TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1120,1144,62.37
19,MATCH (N0)=[ALL TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1123,1148,65.53
20,MATCH (N0)=[ALL TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1186,1211,68.68
21,MATCH (N0)=[ALL TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1206,1230,71.62
22,MATCH (N0)=[ALL TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1184,1208,74.77
23,MATCH (N0)=[ALL TRAILS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1124,1148,74.78
24,MATCH (N0)=[ALL TRAILS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1172,1196,77.93
25,MATCH (N0)=[ALL TRAILS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1131,1155,76.84
26,MATCH (N0)=[ALL TRAILS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1132,1156,75.57
27,MATCH (N0)=[ALL TRAILS ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1120,1144,78.71
28,MATCH (N0)=[ALL TRAILS ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1117,1141,79.21
29,MATCH (N0)=[ALL TRAILS ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1351,1375,82.36
30,MATCH (N0)=[ALL TRAILS ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1192,1215,85.51
31,MATCH (N0)=[ALL TRAILS ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1136,1159,84.34
32,MATCH (N0)=[ALL TRAILS ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1192,1217,84.91
33,MATCH (N0)=[ALL TRAILS ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1192,1215,84.91
34,MATCH (N0)=[ALL TRAILS ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1194,1218,85.04
35,MATCH (N0)=[ALL TRAILS ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1135,1159,85.02
36,MATCH (N0)=[ALL TRAILS ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1201,1225,85.7
37,MATCH (N0)=[ALL TRAILS ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1162,1186,85.7
