query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,75,93,44.84
1,MATCH (N0)=[ALL TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,2,5,44.84
2,MATCH (N0)=[ALL TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.84
3,MATCH (N0)=[ALL TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.84
4,MATCH (N0)=[ALL TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.84
5,MATCH (N0)=[ALL TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.84
6,MATCH (N0)=[ALL TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.84
7,MATCH (N0)=[ALL TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,4,6,44.84
8,MATCH (N0)=[ALL TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,8,10,44.84
9,MATCH (N0)=[ALL TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,16,19,44.84
10,MATCH (N0)=[ALL TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,34,38,44.84
11,MATCH (N0)=[ALL TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,73,77,44.84
12,MATCH (N0)=[ALL TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,154,160,44.84
13,MATCH (N0)=[ALL TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,370,379,44.84
14,MATCH (N0)=[ALL TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,692,707,44.84
15,MATCH (N0)=[ALL TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1045,1069,44.84
16,MATCH (N0)=[ALL TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1114,1140,44.84
17,MATCH (N0)=[ALL TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1245,1272,44.84
18,MATCH (N0)=[ALL TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1228,1257,44.84
19,MATCH (N0)=[ALL TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1374,1404,44.84
20,MATCH (N0)=[ALL TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1636,1666,44.84
21,MATCH (N0)=[ALL TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1499,1531,45.1
22,MATCH (N0)=[ALL TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1775,1808,45.35
23,MATCH (N0)=[ALL TRAILS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1613,1647,45.61
24,MATCH (N0)=[ALL TRAILS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1706,1742,45.86
25,MATCH (N0)=[ALL TRAILS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1774,1811,46.11
26,MATCH (N0)=[ALL TRAILS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1723,1761,46.37
27,MATCH (N0)=[ALL TRAILS ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1808,1844,46.62
28,MATCH (N0)=[ALL TRAILS ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,2011,2049,46.88
29,MATCH (N0)=[ALL TRAILS ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,2067,2106,47.13
