query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,124,142,47.04
1,MATCH (N0)=[ANY SHORTEST ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,3,OK,1,4,47.04
2,MATCH (N0)=[ANY SHORTEST ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,6,OK,1,4,47.04
3,MATCH (N0)=[ANY SHORTEST ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,9,OK,1,4,47.04
4,MATCH (N0)=[ANY SHORTEST ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,47.04
5,MATCH (N0)=[ANY SHORTEST ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,15,OK,1,4,47.04
6,MATCH (N0)=[ANY SHORTEST ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,18,OK,1,4,47.04
7,MATCH (N0)=[ANY SHORTEST ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,21,OK,1,4,47.04
8,MATCH (N0)=[ANY SHORTEST ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,24,OK,1,4,47.04
9,MATCH (N0)=[ANY SHORTEST ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,27,OK,1,4,47.04
10,MATCH (N0)=[ANY SHORTEST ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,30,OK,2,5,47.04
11,MATCH (N0)=[ANY SHORTEST ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,33,OK,2,4,47.04
12,MATCH (N0)=[ANY SHORTEST ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,36,OK,2,5,47.04
13,MATCH (N0)=[ANY SHORTEST ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,39,OK,2,5,47.04
14,MATCH (N0)=[ANY SHORTEST ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,42,OK,2,5,47.04
15,MATCH (N0)=[ANY SHORTEST ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,45,OK,3,6,47.04
16,MATCH (N0)=[ANY SHORTEST ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,48,OK,3,6,47.04
17,MATCH (N0)=[ANY SHORTEST ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,51,OK,3,6,47.04
18,MATCH (N0)=[ANY SHORTEST ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,54,OK,4,7,47.04
19,MATCH (N0)=[ANY SHORTEST ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,57,OK,5,8,47.04
20,MATCH (N0)=[ANY SHORTEST ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,60,OK,5,8,47.04
21,MATCH (N0)=[ANY SHORTEST ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,63,OK,5,8,47.3
22,MATCH (N0)=[ANY SHORTEST ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,66,OK,6,9,47.55
23,MATCH (N0)=[ANY SHORTEST ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,69,OK,6,9,47.8
24,MATCH (N0)=[ANY SHORTEST ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,72,OK,7,10,48.06
25,MATCH (N0)=[ANY SHORTEST ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,75,OK,8,11,48.31
26,MATCH (N0)=[ANY SHORTEST ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,78,OK,9,12,48.57
27,MATCH (N0)=[ANY SHORTEST ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,81,OK,9,12,48.57
28,MATCH (N0)=[ANY SHORTEST ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,84,OK,10,13,48.82
29,MATCH (N0)=[ANY SHORTEST ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,87,OK,11,13,48.82
30,MATCH (N0)=[ANY SHORTEST ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,90,OK,12,15,49.07
31,MATCH (N0)=[ANY SHORTEST ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,93,OK,13,16,49.07
32,MATCH (N0)=[ANY SHORTEST ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,96,OK,14,16,49.33
33,MATCH (N0)=[ANY SHORTEST ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,99,OK,15,17,49.58
34,MATCH (N0)=[ANY SHORTEST ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,102,OK,16,18,49.84
35,MATCH (N0)=[ANY SHORTEST ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,105,OK,17,20,50.1
36,MATCH (N0)=[ANY SHORTEST ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,108,OK,18,21,50.36
37,MATCH (N0)=[ANY SHORTEST ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,111,OK,20,23,50.61
38,MATCH (N0)=[ANY SHORTEST ?p :E{1..76}]=>(?n) RETURN ?p LIMIT 100000,114,OK,21,25,51.12
39,MATCH (N0)=[ANY SHORTEST ?p :E{1..78}]=>(?n) RETURN ?p LIMIT 100000,117,OK,22,25,51.38
40,MATCH (N0)=[ANY SHORTEST ?p :E{1..80}]=>(?n) RETURN ?p LIMIT 100000,120,OK,24,27,51.38
