query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,138,154,44.77
1,MATCH (N0)=[ANY TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,3,OK,1,4,44.77
2,MATCH (N0)=[ANY TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,6,OK,1,3,44.77
3,MATCH (N0)=[ANY TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,9,OK,2,5,44.77
4,MATCH (N0)=[ANY TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.77
5,MATCH (N0)=[ANY TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,15,OK,1,4,44.77
6,MATCH (N0)=[ANY TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,18,OK,2,4,44.77
7,MATCH (N0)=[ANY TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,21,OK,1,4,44.77
8,MATCH (N0)=[ANY TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,24,OK,2,4,44.77
9,MATCH (N0)=[ANY TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,27,OK,2,5,44.77
10,MATCH (N0)=[ANY TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,30,OK,4,6,45.02
11,MATCH (N0)=[ANY TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,33,OK,7,9,45.27
12,MATCH (N0)=[ANY TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,36,OK,12,14,45.79
13,MATCH (N0)=[ANY TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,39,OK,22,25,47.07
14,MATCH (N0)=[ANY TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,42,OK,44,46,49.9
15,MATCH (N0)=[ANY TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,45,OK,87,89,54.39
16,MATCH (N0)=[ANY TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,48,OK,176,179,63.16
17,MATCH (N0)=[ANY TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,51,OK,362,366,79.99
18,MATCH (N0)=[ANY TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,54,OK,734,737,114.45
19,MATCH (N0)=[ANY TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,57,OK,1491,1494,183.14
20,MATCH (N0)=[ANY TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,60,OK,3016,3019,319.88
21,MATCH (N0)=[ANY TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,63,OK,6197,6200,593.13
22,MATCH (N0)=[ANY TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,66,OK,12769,12772,1139.42
23,MATCH (N0)=[ANY TRAILS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,69,OK,26088,26091,2231.79
24,MATCH (N0)=[ANY TRAILS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,72,OK,53529,53532,4381.88
25,MATCH (N0)=[ANY TRAILS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,7620.89
26,MATCH (N0)=[ANY TRAILS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,10888.52
27,MATCH (N0)=[ANY TRAILS ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,14246.95
28,MATCH (N0)=[ANY TRAILS ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,17180.92
29,MATCH (N0)=[ANY TRAILS ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,20566.37
30,MATCH (N0)=[ANY TRAILS ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,21577.81
31,MATCH (N0)=[ANY TRAILS ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,24767.37
32,MATCH (N0)=[ANY TRAILS ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,28205.15
33,MATCH (N0)=[ANY TRAILS ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,31572.81
34,MATCH (N0)=[ANY TRAILS ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,34762.17
35,MATCH (N0)=[ANY TRAILS ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,38175.21
36,MATCH (N0)=[ANY TRAILS ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,41356.0
37,MATCH (N0)=[ANY TRAILS ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,44545.32
38,MATCH (N0)=[ANY TRAILS ?p :E{1..76}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,47403.54
39,MATCH (N0)=[ANY TRAILS ?p :E{1..78}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,50590.27
40,MATCH (N0)=[ANY TRAILS ?p :E{1..80}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,53961.55
