query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,85,101,46.77
1,MATCH (N0)=[ANY TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,3,OK,17,20,46.77
2,MATCH (N0)=[ANY TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,6,OK,1,4,46.77
3,MATCH (N0)=[ANY TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,9,OK,1,3,46.77
4,MATCH (N0)=[ANY TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,46.77
5,MATCH (N0)=[ANY TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,15,OK,1,3,46.77
6,MATCH (N0)=[ANY TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,18,OK,1,4,46.77
7,MATCH (N0)=[ANY TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,21,OK,1,4,46.77
8,MATCH (N0)=[ANY TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,24,OK,2,5,46.77
9,MATCH (N0)=[ANY TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,27,OK,3,6,46.77
10,MATCH (N0)=[ANY TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,30,OK,4,7,46.77
11,MATCH (N0)=[ANY TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,33,OK,7,10,46.77
12,MATCH (N0)=[ANY TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,36,OK,13,16,46.77
13,MATCH (N0)=[ANY TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,39,OK,25,28,46.77
14,MATCH (N0)=[ANY TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,42,OK,48,51,46.77
15,MATCH (N0)=[ANY TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,45,OK,96,99,46.77
16,MATCH (N0)=[ANY TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,48,OK,187,189,46.77
17,MATCH (N0)=[ANY TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,51,OK,370,372,46.77
18,MATCH (N0)=[ANY TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,54,OK,740,743,46.77
19,MATCH (N0)=[ANY TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,57,OK,1463,1465,46.77
20,MATCH (N0)=[ANY TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,60,OK,2947,2950,46.77
21,MATCH (N0)=[ANY TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,63,OK,5921,5924,47.02
22,MATCH (N0)=[ANY TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,66,OK,11809,11812,47.28
23,MATCH (N0)=[ANY TRAILS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,69,OK,23520,23523,47.53
24,MATCH (N0)=[ANY TRAILS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,72,OK,46988,46991,47.79
25,MATCH (N0)=[ANY TRAILS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,48.14
26,MATCH (N0)=[ANY TRAILS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,48.39
27,MATCH (N0)=[ANY TRAILS ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,48.65
28,MATCH (N0)=[ANY TRAILS ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,48.9
29,MATCH (N0)=[ANY TRAILS ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,49.16
30,MATCH (N0)=[ANY TRAILS ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,49.41
31,MATCH (N0)=[ANY TRAILS ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,49.66
32,MATCH (N0)=[ANY TRAILS ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,49.92
33,MATCH (N0)=[ANY TRAILS ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,50.17
34,MATCH (N0)=[ANY TRAILS ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,50.68
35,MATCH (N0)=[ANY TRAILS ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,50.94
36,MATCH (N0)=[ANY TRAILS ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,51.2
37,MATCH (N0)=[ANY TRAILS ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,51.71
38,MATCH (N0)=[ANY TRAILS ?p :E{1..76}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,52.78
39,MATCH (N0)=[ANY TRAILS ?p :E{1..78}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,53.29
40,MATCH (N0)=[ANY TRAILS ?p :E{1..80}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,53.29
