query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,78,93,44.8
1,MATCH (N0)=[ALL SHORTEST ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,2,5,44.8
2,MATCH (N0)=[ALL SHORTEST ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.8
3,MATCH (N0)=[ALL SHORTEST ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,44.8
4,MATCH (N0)=[ALL SHORTEST ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,44.8
5,MATCH (N0)=[ALL SHORTEST ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,44.8
6,MATCH (N0)=[ALL SHORTEST ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,44.8
7,MATCH (N0)=[ALL SHORTEST ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,4,44.8
8,MATCH (N0)=[ALL SHORTEST ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,256,OK,3,7,44.8
9,MATCH (N0)=[ALL SHORTEST ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,512,OK,5,8,44.8
10,MATCH (N0)=[ALL SHORTEST ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1024,OK,9,12,44.8
11,MATCH (N0)=[ALL SHORTEST ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,2048,OK,20,23,44.8
12,MATCH (N0)=[ALL SHORTEST ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,4096,OK,41,45,44.8
13,MATCH (N0)=[ALL SHORTEST ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,8192,OK,82,87,44.8
14,MATCH (N0)=[ALL SHORTEST ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,16384,OK,170,177,44.8
15,MATCH (N0)=[ALL SHORTEST ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,32768,OK,369,379,44.8
16,MATCH (N0)=[ALL SHORTEST ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,65536,OK,793,813,44.8
17,MATCH (N0)=[ALL SHORTEST ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100000,OK,1254,1283,44.8
18,MATCH (N0)=[ALL SHORTEST ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100000,OK,1238,1268,44.8
19,MATCH (N0)=[ALL SHORTEST ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100000,OK,1396,1427,44.8
20,MATCH (N0)=[ALL SHORTEST ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100000,OK,1475,1505,44.8
21,MATCH (N0)=[ALL SHORTEST ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100000,OK,1464,1495,45.05
22,MATCH (N0)=[ALL SHORTEST ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100000,OK,1524,1556,45.31
23,MATCH (N0)=[ALL SHORTEST ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100000,OK,1711,1744,45.56
24,MATCH (N0)=[ALL SHORTEST ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100000,OK,1780,1815,45.82
25,MATCH (N0)=[ALL SHORTEST ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,100000,OK,1835,1871,46.07
26,MATCH (N0)=[ALL SHORTEST ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,100000,OK,1899,1936,46.32
27,MATCH (N0)=[ALL SHORTEST ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,100000,OK,1961,1998,46.32
28,MATCH (N0)=[ALL SHORTEST ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,100000,OK,2030,2069,46.58
29,MATCH (N0)=[ALL SHORTEST ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,100000,OK,2103,2143,46.89
30,MATCH (N0)=[ALL SHORTEST ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,100000,OK,2057,2099,47.15
31,MATCH (N0)=[ALL SHORTEST ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,100000,OK,2125,2167,47.4
32,MATCH (N0)=[ALL SHORTEST ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,100000,OK,2431,2475,47.4
