query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,75,89,44.13
1,MATCH (N0)=[ALL TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,9,13,44.19
2,MATCH (N0)=[ALL TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.19
3,MATCH (N0)=[ALL TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,44.19
4,MATCH (N0)=[ALL TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,44.19
5,MATCH (N0)=[ALL TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,44.19
6,MATCH (N0)=[ALL TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,44.19
7,MATCH (N0)=[ALL TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,5,44.19
8,MATCH (N0)=[ALL TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,256,OK,4,6,44.19
9,MATCH (N0)=[ALL TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,512,OK,6,9,44.19
10,MATCH (N0)=[ALL TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1024,OK,12,15,44.44
11,MATCH (N0)=[ALL TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,2048,OK,24,27,44.7
12,MATCH (N0)=[ALL TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,4096,OK,51,54,45.21
13,MATCH (N0)=[ALL TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,8192,OK,106,110,46.49
14,MATCH (N0)=[ALL TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,16384,OK,224,230,48.84
15,MATCH (N0)=[ALL TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,32768,OK,462,472,53.33
16,MATCH (N0)=[ALL TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,65536,OK,966,984,62.11
17,MATCH (N0)=[ALL TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100000,OK,1604,1633,79.44
18,MATCH (N0)=[ALL TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100000,OK,1903,1933,113.89
19,MATCH (N0)=[ALL TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100000,OK,2506,2537,182.37
20,MATCH (N0)=[ALL TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100000,OK,3616,3646,319.1
21,MATCH (N0)=[ALL TRAILS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100000,OK,6043,6075,592.36
22,MATCH (N0)=[ALL TRAILS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100000,OK,10515,10547,1141.83
23,MATCH (N0)=[ALL TRAILS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100000,OK,19591,19624,2237.89
24,MATCH (N0)=[ALL TRAILS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100000,OK,38559,38593,4425.84
25,MATCH (N0)=[ALL TRAILS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,7807.95
26,MATCH (N0)=[ALL TRAILS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,11193.65
27,MATCH (N0)=[ALL TRAILS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,14383.2
28,MATCH (N0)=[ALL TRAILS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,17684.61
29,MATCH (N0)=[ALL TRAILS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,20072.05
30,MATCH (N0)=[ALL TRAILS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,23511.57
31,MATCH (N0)=[ALL TRAILS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,26696.56
32,MATCH (N0)=[ALL TRAILS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,30101.35
33,MATCH (N0)=[ALL TRAILS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,33493.5
34,MATCH (N0)=[ALL TRAILS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,33605.98
35,MATCH (N0)=[ALL TRAILS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,36957.92
36,MATCH (N0)=[ALL TRAILS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,40088.91
37,MATCH (N0)=[ALL TRAILS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,42911.04
38,MATCH (N0)=[ALL TRAILS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,45843.72
39,MATCH (N0)=[ALL TRAILS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,46787.6
40,MATCH (N0)=[ALL TRAILS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,50201.93
