query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,94,113,44.93
1,MATCH (N0)=[ALL TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,2,4,44.93
2,MATCH (N0)=[ALL TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.93
3,MATCH (N0)=[ALL TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.93
4,MATCH (N0)=[ALL TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,3,44.93
5,MATCH (N0)=[ALL TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,3,44.93
6,MATCH (N0)=[ALL TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,3,44.93
7,MATCH (N0)=[ALL TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,4,44.93
8,MATCH (N0)=[ALL TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,256,OK,3,6,44.93
9,MATCH (N0)=[ALL TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,512,OK,6,9,44.93
10,MATCH (N0)=[ALL TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1024,OK,13,16,44.93
11,MATCH (N0)=[ALL TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,2048,OK,26,29,44.93
12,MATCH (N0)=[ALL TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,4096,OK,54,57,44.93
13,MATCH (N0)=[ALL TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,8192,OK,108,112,44.93
14,MATCH (N0)=[ALL TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,16384,OK,231,237,44.93
15,MATCH (N0)=[ALL TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,32768,OK,478,488,44.93
16,MATCH (N0)=[ALL TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,65536,OK,989,1007,44.93
17,MATCH (N0)=[ALL TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100000,OK,1564,1593,44.93
18,MATCH (N0)=[ALL TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100000,OK,1631,1662,44.93
19,MATCH (N0)=[ALL TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100000,OK,1603,1634,44.93
20,MATCH (N0)=[ALL TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100000,OK,1770,1800,44.93
21,MATCH (N0)=[ALL TRAILS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100000,OK,1789,1820,45.18
22,MATCH (N0)=[ALL TRAILS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100000,OK,1911,1944,45.49
23,MATCH (N0)=[ALL TRAILS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100000,OK,1883,1917,45.75
24,MATCH (N0)=[ALL TRAILS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100000,OK,2048,2083,46.0
25,MATCH (N0)=[ALL TRAILS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,100000,OK,2137,2178,46.25
26,MATCH (N0)=[ALL TRAILS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,100000,OK,2166,2203,46.51
27,MATCH (N0)=[ALL TRAILS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,100000,OK,2153,2192,46.76
28,MATCH (N0)=[ALL TRAILS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,100000,OK,2224,2263,47.02
29,MATCH (N0)=[ALL TRAILS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,100000,OK,2353,2396,47.27
30,MATCH (N0)=[ALL TRAILS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,100000,OK,2482,2524,47.52
31,MATCH (N0)=[ALL TRAILS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,100000,OK,2551,2594,47.78
32,MATCH (N0)=[ALL TRAILS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,100000,OK,2621,2665,48.17
33,MATCH (N0)=[ALL TRAILS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,100000,OK,2737,2782,48.42
34,MATCH (N0)=[ALL TRAILS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,100000,OK,2792,2838,48.68
35,MATCH (N0)=[ALL TRAILS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,100000,OK,2825,2873,48.94
36,MATCH (N0)=[ALL TRAILS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,100000,OK,3099,3148,49.45
37,MATCH (N0)=[ALL TRAILS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,100000,OK,3147,3197,49.71
38,MATCH (N0)=[ALL TRAILS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,100000,OK,3043,3094,50.22
39,MATCH (N0)=[ALL TRAILS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,100000,OK,3039,3091,50.48
40,MATCH (N0)=[ALL TRAILS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,100000,OK,3209,3262,50.99
