query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,120,138,44.61
1,MATCH (N0)=[ANY SHORTEST ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,1,OK,2,4,44.61
2,MATCH (N0)=[ANY SHORTEST ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,1,OK,1,3,44.61
3,MATCH (N0)=[ANY SHORTEST ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,1,OK,1,3,44.61
4,MATCH (N0)=[ANY SHORTEST ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,1,OK,1,4,44.61
5,MATCH (N0)=[ANY SHORTEST ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,1,OK,1,4,44.61
6,MATCH (N0)=[ANY SHORTEST ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,1,OK,1,4,44.61
7,MATCH (N0)=[ANY SHORTEST ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,1,OK,1,4,44.61
8,MATCH (N0)=[ANY SHORTEST ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,1,OK,1,5,44.61
9,MATCH (N0)=[ANY SHORTEST ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,1,OK,2,5,44.61
10,MATCH (N0)=[ANY SHORTEST ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1,OK,2,5,44.61
11,MATCH (N0)=[ANY SHORTEST ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,1,OK,2,5,44.61
12,MATCH (N0)=[ANY SHORTEST ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,1,OK,3,5,44.61
13,MATCH (N0)=[ANY SHORTEST ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,1,OK,3,5,44.61
14,MATCH (N0)=[ANY SHORTEST ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,1,OK,3,6,44.61
15,MATCH (N0)=[ANY SHORTEST ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,1,OK,4,7,44.61
16,MATCH (N0)=[ANY SHORTEST ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,1,OK,4,7,44.61
17,MATCH (N0)=[ANY SHORTEST ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,1,OK,4,7,44.61
18,MATCH (N0)=[ANY SHORTEST ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,1,OK,5,8,44.61
19,MATCH (N0)=[ANY SHORTEST ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,1,OK,6,8,45.02
20,MATCH (N0)=[ANY SHORTEST ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,1,OK,6,9,45.02
21,MATCH (N0)=[ANY SHORTEST ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,1,OK,7,10,45.27
22,MATCH (N0)=[ANY SHORTEST ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,1,OK,7,10,45.53
23,MATCH (N0)=[ANY SHORTEST ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,1,OK,9,11,45.78
24,MATCH (N0)=[ANY SHORTEST ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,1,OK,9,12,46.04
25,MATCH (N0)=[ANY SHORTEST ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,1,OK,10,13,46.29
26,MATCH (N0)=[ANY SHORTEST ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,1,OK,11,13,46.54
27,MATCH (N0)=[ANY SHORTEST ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,1,OK,12,14,46.8
28,MATCH (N0)=[ANY SHORTEST ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,1,OK,13,15,47.05
29,MATCH (N0)=[ANY SHORTEST ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,1,OK,14,16,47.3
30,MATCH (N0)=[ANY SHORTEST ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,1,OK,15,17,47.56
31,MATCH (N0)=[ANY SHORTEST ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,1,OK,16,18,47.81
32,MATCH (N0)=[ANY SHORTEST ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,1,OK,17,19,47.81
33,MATCH (N0)=[ANY SHORTEST ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,1,OK,18,21,48.33
34,MATCH (N0)=[ANY SHORTEST ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,1,OK,20,22,48.84
35,MATCH (N0)=[ANY SHORTEST ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,1,OK,21,24,49.61
36,MATCH (N0)=[ANY SHORTEST ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,1,OK,23,25,50.13
37,MATCH (N0)=[ANY SHORTEST ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,1,OK,24,27,50.64
38,MATCH (N0)=[ANY SHORTEST ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,1,OK,26,28,51.41
39,MATCH (N0)=[ANY SHORTEST ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,1,OK,28,30,52.44
40,MATCH (N0)=[ANY SHORTEST ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,1,OK,29,32,53.21
