query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,80,99,46.55
1,MATCH (N0)=[ANY TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,1,OK,2,5,46.55
2,MATCH (N0)=[ANY TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
3,MATCH (N0)=[ANY TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
4,MATCH (N0)=[ANY TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
5,MATCH (N0)=[ANY TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
6,MATCH (N0)=[ANY TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
7,MATCH (N0)=[ANY TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,1,OK,1,4,46.55
8,MATCH (N0)=[ANY TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,1,OK,2,4,46.55
9,MATCH (N0)=[ANY TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,1,OK,2,5,46.55
10,MATCH (N0)=[ANY TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1,OK,3,6,46.55
11,MATCH (N0)=[ANY TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,1,OK,5,8,46.55
12,MATCH (N0)=[ANY TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,1,OK,9,11,47.07
13,MATCH (N0)=[ANY TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,1,OK,16,19,48.09
14,MATCH (N0)=[ANY TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,1,OK,30,33,50.15
15,MATCH (N0)=[ANY TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,1,OK,60,62,53.29
16,MATCH (N0)=[ANY TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,1,OK,119,122,59.19
17,MATCH (N0)=[ANY TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,1,OK,241,244,70.63
18,MATCH (N0)=[ANY TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,1,OK,496,498,93.14
19,MATCH (N0)=[ANY TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,1,OK,1021,1025,156.05
20,MATCH (N0)=[ANY TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,1,OK,2026,2029,224.84
21,MATCH (N0)=[ANY TRAILS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,1,OK,4194,4197,480.73
22,MATCH (N0)=[ANY TRAILS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,1,OK,8539,8542,927.72
23,MATCH (N0)=[ANY TRAILS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,1,OK,17651,17654,1816.71
24,MATCH (N0)=[ANY TRAILS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,1,OK,35890,35893,3606.2
25,MATCH (N0)=[ANY TRAILS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,7064.9
26,MATCH (N0)=[ANY TRAILS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,10556.76
27,MATCH (N0)=[ANY TRAILS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,13983.71
28,MATCH (N0)=[ANY TRAILS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,17498.0
29,MATCH (N0)=[ANY TRAILS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,21037.29
30,MATCH (N0)=[ANY TRAILS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,24471.2
31,MATCH (N0)=[ANY TRAILS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,27596.58
32,MATCH (N0)=[ANY TRAILS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,31125.82
33,MATCH (N0)=[ANY TRAILS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,34507.07
34,MATCH (N0)=[ANY TRAILS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,34269.77
35,MATCH (N0)=[ANY TRAILS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,36021.53
