query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,103,122,46.57
1,MATCH (N0)=[ANY TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,1,OK,2,5,46.57
2,MATCH (N0)=[ANY TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
3,MATCH (N0)=[ANY TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
4,MATCH (N0)=[ANY TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
5,MATCH (N0)=[ANY TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
6,MATCH (N0)=[ANY TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
7,MATCH (N0)=[ANY TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
8,MATCH (N0)=[ANY TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
9,MATCH (N0)=[ANY TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,1,OK,1,4,46.57
10,MATCH (N0)=[ANY TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1,OK,2,4,46.57
11,MATCH (N0)=[ANY TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,1,OK,2,4,46.57
12,MATCH (N0)=[ANY TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,1,OK,2,5,46.57
13,MATCH (N0)=[ANY TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,1,OK,2,5,46.57
14,MATCH (N0)=[ANY TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,1,OK,2,5,46.57
15,MATCH (N0)=[ANY TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,1,OK,3,6,46.57
16,MATCH (N0)=[ANY TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,1,OK,3,6,46.57
17,MATCH (N0)=[ANY TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,1,OK,3,6,46.57
18,MATCH (N0)=[ANY TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,1,OK,4,7,46.57
19,MATCH (N0)=[ANY TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,1,OK,4,7,46.57
20,MATCH (N0)=[ANY TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,1,OK,5,7,46.57
21,MATCH (N0)=[ANY TRAILS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,1,OK,5,8,46.82
22,MATCH (N0)=[ANY TRAILS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,1,OK,6,9,47.07
23,MATCH (N0)=[ANY TRAILS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,1,OK,6,9,47.33
24,MATCH (N0)=[ANY TRAILS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,1,OK,7,10,47.58
25,MATCH (N0)=[ANY TRAILS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,1,OK,7,10,47.84
26,MATCH (N0)=[ANY TRAILS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,1,OK,8,11,48.09
27,MATCH (N0)=[ANY TRAILS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,1,OK,9,11,48.34
28,MATCH (N0)=[ANY TRAILS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,1,OK,10,12,48.6
29,MATCH (N0)=[ANY TRAILS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,1,OK,11,13,48.85
30,MATCH (N0)=[ANY TRAILS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,1,OK,11,14,49.11
31,MATCH (N0)=[ANY TRAILS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,1,OK,12,15,49.11
32,MATCH (N0)=[ANY TRAILS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,1,OK,13,15,49.11
33,MATCH (N0)=[ANY TRAILS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,1,OK,14,16,49.36
34,MATCH (N0)=[ANY TRAILS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,1,OK,15,17,49.87
35,MATCH (N0)=[ANY TRAILS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,1,OK,16,19,50.38
36,MATCH (N0)=[ANY TRAILS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,1,OK,17,20,50.89
37,MATCH (N0)=[ANY TRAILS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,1,OK,19,21,51.41
38,MATCH (N0)=[ANY TRAILS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,1,OK,20,23,51.97
39,MATCH (N0)=[ANY TRAILS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,1,OK,21,24,52.48
40,MATCH (N0)=[ANY TRAILS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,1,OK,23,26,53.0
