query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,129,148,44.76
2,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
7,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
12,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.81
17,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,44.81
22,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,44.81
27,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,44.81
32,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,100,OK,2,4,44.81
37,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,100,OK,2,4,44.81
42,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,100,OK,3,5,44.81
47,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,100,OK,4,7,44.81
52,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,100,OK,6,9,46.08
57,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,100,OK,9,12,47.02
62,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,100,OK,17,20,50.82
67,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,100,OK,32,35,57.73
72,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,100,OK,61,64,68.3
77,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,100,OK,122,125,96.4
82,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100,OK,241,245,146.75
87,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100,OK,494,500,257.5
92,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100,OK,1009,1015,467.69
97,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100,OK,2069,2075,900.54
102,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100,OK,4217,4220,1805.11
107,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100,OK,8585,8588,3441.02
112,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100,OK,17577,17580,6501.22
117,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100,OK,36237,36241,12866.62
122,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,22781.28
127,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,37623.0
132,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,48263.14
137,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,53087.7
142,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,65999.19
147,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,71026.77
152,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,75931.26
157,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,75723.25
162,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,84455.34
167,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,91087.3
172,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,91408.11
177,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,91339.02
182,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,91771.68
187,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,92159.8
192,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,92460.61
197,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,95957.02
