query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,85,103,46.92
2,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,47.04
7,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
12,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,47.04
17,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,3,47.04
22,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,47.04
27,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,47.04
32,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,100,OK,1,4,47.04
37,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,100,OK,2,4,47.04
42,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,100,OK,2,4,47.04
47,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,100,OK,2,5,47.04
52,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,100,OK,2,5,47.04
57,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,100,OK,2,5,47.04
62,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,100,OK,3,6,47.04
67,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,100,OK,3,7,47.04
72,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,100,OK,4,7,47.04
77,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,100,OK,4,7,47.04
82,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100,OK,4,8,47.04
87,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100,OK,5,10,47.04
92,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100,OK,5,11,47.04
97,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100,OK,6,11,47.54
102,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100,OK,6,9,48.3
107,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100,OK,7,10,49.32
112,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100,OK,8,10,50.08
117,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100,OK,8,11,50.08
122,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,100,OK,9,12,50.59
127,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,100,OK,9,12,50.59
132,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,100,OK,10,14,51.35
137,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,100,OK,11,14,51.86
142,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,100,OK,12,15,52.37
147,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,100,OK,14,17,52.62
152,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,100,OK,14,16,52.88
157,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,100,OK,15,17,53.53
162,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,100,OK,16,19,54.3
167,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,100,OK,17,20,55.58
172,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,100,OK,18,21,56.87
177,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,100,OK,20,23,57.9
182,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,100,OK,21,24,59.19
187,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,100,OK,22,26,59.7
192,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,100,OK,24,27,60.47
197,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,100,OK,25,28,60.56
