query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,144,162,864.66
1,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,2,5,864.89
41,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,864.89
81,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,864.89
121,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,864.89
161,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,864.89
201,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,864.89
241,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,5,864.89
281,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,256,OK,3,6,864.89
321,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,512,OK,6,8,864.89
361,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1024,OK,12,14,865.14
401,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,2048,OK,24,28,870.48
441,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,4096,OK,49,52,872.12
481,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,8192,OK,102,107,883.99
521,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,16384,OK,222,229,896.36
561,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,32768,OK,459,469,922.81
601,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,65536,OK,924,942,981.93
641,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100000,OK,1595,1624,1116.99
681,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100000,OK,2026,2057,1334.44
721,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100000,OK,2374,2406,1744.06
761,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100000,OK,3602,3631,2790.73
