query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,127,146,44.68
5,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
45,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
85,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,44.81
125,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,44.81
165,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,3,44.81
205,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,44.81
245,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,1,4,44.81
285,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,256,OK,3,6,44.81
325,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..18}]=>(N27) RETURN ?p LIMIT 100000,512,OK,5,7,44.81
365,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..20}]=>(N30) RETURN ?p LIMIT 100000,1024,OK,9,12,44.81
405,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..22}]=>(N33) RETURN ?p LIMIT 100000,2048,OK,18,21,44.81
445,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..24}]=>(N36) RETURN ?p LIMIT 100000,4096,OK,40,43,44.81
485,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..26}]=>(N39) RETURN ?p LIMIT 100000,8192,OK,79,84,44.81
525,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..28}]=>(N42) RETURN ?p LIMIT 100000,16384,OK,172,179,44.81
565,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..30}]=>(N45) RETURN ?p LIMIT 100000,32768,OK,377,389,44.81
605,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..32}]=>(N48) RETURN ?p LIMIT 100000,65536,OK,791,811,44.81
645,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..34}]=>(N51) RETURN ?p LIMIT 100000,100000,OK,1351,1380,45.32
685,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..36}]=>(N54) RETURN ?p LIMIT 100000,100000,OK,1353,1383,48.36
725,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..38}]=>(N57) RETURN ?p LIMIT 100000,100000,OK,1334,1366,51.16
765,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..40}]=>(N60) RETURN ?p LIMIT 100000,100000,OK,1416,1446,51.97
805,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..42}]=>(N63) RETURN ?p LIMIT 100000,100000,OK,1498,1529,52.23
845,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..44}]=>(N66) RETURN ?p LIMIT 100000,100000,OK,1562,1594,52.23
885,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..46}]=>(N69) RETURN ?p LIMIT 100000,100000,OK,1735,1769,52.23
925,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..48}]=>(N72) RETURN ?p LIMIT 100000,100000,OK,1684,1719,52.23
965,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..50}]=>(N75) RETURN ?p LIMIT 100000,100000,OK,2117,2152,52.33
1005,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..52}]=>(N78) RETURN ?p LIMIT 100000,100000,OK,1799,1836,52.45
1045,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..54}]=>(N81) RETURN ?p LIMIT 100000,100000,OK,1894,1932,52.88
1085,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..56}]=>(N84) RETURN ?p LIMIT 100000,100000,OK,1941,1980,52.88
1125,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..58}]=>(N87) RETURN ?p LIMIT 100000,100000,OK,2144,2185,52.88
1165,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..60}]=>(N90) RETURN ?p LIMIT 100000,100000,OK,2135,2177,53.14
1205,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..62}]=>(N93) RETURN ?p LIMIT 100000,100000,OK,2282,2324,54.43
1245,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..64}]=>(N96) RETURN ?p LIMIT 100000,100000,OK,2459,2503,57.27
1285,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..66}]=>(N99) RETURN ?p LIMIT 100000,100000,OK,2357,2407,61.55
1325,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..68}]=>(N102) RETURN ?p LIMIT 100000,100000,OK,2659,2711,67.8
1365,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..70}]=>(N105) RETURN ?p LIMIT 100000,100000,OK,2647,2696,71.79
1405,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..72}]=>(N108) RETURN ?p LIMIT 100000,100000,OK,2679,2730,78.29
1445,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..74}]=>(N111) RETURN ?p LIMIT 100000,100000,OK,2750,2802,84.68
1485,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..76}]=>(N114) RETURN ?p LIMIT 100000,100000,OK,2768,2822,90.92
1525,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..78}]=>(N117) RETURN ?p LIMIT 100000,100000,OK,2844,2899,96.12
1565,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..80}]=>(N120) RETURN ?p LIMIT 100000,100000,OK,3130,3186,103.01
