query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,127,146,44.68
1,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,2,4,44.81
2,MATCH (N0)=[SHORTEST 2 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
3,MATCH (N0)=[SHORTEST 3 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
4,MATCH (N0)=[SHORTEST 4 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
5,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
6,MATCH (N0)=[SHORTEST 6 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
7,MATCH (N0)=[SHORTEST 7 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
8,MATCH (N0)=[SHORTEST 8 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
9,MATCH (N0)=[SHORTEST 9 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
10,MATCH (N0)=[SHORTEST 10 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
11,MATCH (N0)=[SHORTEST 11 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
12,MATCH (N0)=[SHORTEST 12 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,3,44.81
13,MATCH (N0)=[SHORTEST 13 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
14,MATCH (N0)=[SHORTEST 14 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,3,44.81
15,MATCH (N0)=[SHORTEST 15 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
16,MATCH (N0)=[SHORTEST 16 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
17,MATCH (N0)=[SHORTEST 17 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
18,MATCH (N0)=[SHORTEST 18 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
19,MATCH (N0)=[SHORTEST 19 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
20,MATCH (N0)=[SHORTEST 20 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
21,MATCH (N0)=[SHORTEST 21 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
22,MATCH (N0)=[SHORTEST 22 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
23,MATCH (N0)=[SHORTEST 23 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,3,44.81
24,MATCH (N0)=[SHORTEST 24 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
25,MATCH (N0)=[SHORTEST 25 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
26,MATCH (N0)=[SHORTEST 26 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
27,MATCH (N0)=[SHORTEST 27 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
28,MATCH (N0)=[SHORTEST 28 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
29,MATCH (N0)=[SHORTEST 29 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
30,MATCH (N0)=[SHORTEST 30 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
31,MATCH (N0)=[SHORTEST 31 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
32,MATCH (N0)=[SHORTEST 32 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
33,MATCH (N0)=[SHORTEST 33 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,3,44.81
34,MATCH (N0)=[SHORTEST 34 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
35,MATCH (N0)=[SHORTEST 35 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,4,44.81
36,MATCH (N0)=[SHORTEST 36 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,0,4,44.81
37,MATCH (N0)=[SHORTEST 37 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
38,MATCH (N0)=[SHORTEST 38 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
39,MATCH (N0)=[SHORTEST 39 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
40,MATCH (N0)=[SHORTEST 40 GROUPS WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
41,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
42,MATCH (N0)=[SHORTEST 2 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
43,MATCH (N0)=[SHORTEST 3 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
44,MATCH (N0)=[SHORTEST 4 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
45,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
46,MATCH (N0)=[SHORTEST 6 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
47,MATCH (N0)=[SHORTEST 7 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
48,MATCH (N0)=[SHORTEST 8 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,0,3,44.81
49,MATCH (N0)=[SHORTEST 9 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
50,MATCH (N0)=[SHORTEST 10 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
51,MATCH (N0)=[SHORTEST 11 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
52,MATCH (N0)=[SHORTEST 12 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
53,MATCH (N0)=[SHORTEST 13 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
54,MATCH (N0)=[SHORTEST 14 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,0,3,44.81
55,MATCH (N0)=[SHORTEST 15 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
56,MATCH (N0)=[SHORTEST 16 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,44.81
57,MATCH (N0)=[SHORTEST 17 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
58,MATCH (N0)=[SHORTEST 18 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
59,MATCH (N0)=[SHORTEST 19 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
60,MATCH (N0)=[SHORTEST 20 GROUPS WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
