query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,129,148,44.76
1,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
2,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
3,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
4,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,44.81
5,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,44.81
6,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
7,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
8,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
9,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
10,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,4,44.81
11,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,44.81
12,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.81
13,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.81
14,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.81
15,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,44.81
16,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,10,OK,1,4,44.81
