query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,85,103,46.92
1,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,2,5,47.04
2,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,47.04
3,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,4,47.04
4,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,47.04
5,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..2}]=>(N3) RETURN ?p LIMIT 100000,2,OK,1,3,47.04
6,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
7,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
8,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
9,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
10,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..4}]=>(N6) RETURN ?p LIMIT 100000,4,OK,1,3,47.04
11,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,3,47.04
12,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,47.04
13,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,47.04
14,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,47.04
15,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..6}]=>(N9) RETURN ?p LIMIT 100000,8,OK,1,4,47.04
16,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,10,OK,1,3,47.04
17,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,3,47.04
18,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,3,47.04
19,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,3,47.04
20,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..8}]=>(N12) RETURN ?p LIMIT 100000,16,OK,1,4,47.04
21,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,10,OK,1,4,47.04
22,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,47.04
23,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,47.04
24,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,47.04
25,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..10}]=>(N15) RETURN ?p LIMIT 100000,32,OK,1,4,47.04
26,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,10,OK,1,4,47.04
27,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,47.04
28,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,47.04
29,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,47.04
30,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..12}]=>(N18) RETURN ?p LIMIT 100000,64,OK,1,4,47.04
31,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,10,OK,1,3,47.04
32,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,100,OK,1,4,47.04
33,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,4,47.04
34,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,4,47.04
35,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..14}]=>(N21) RETURN ?p LIMIT 100000,128,OK,2,5,47.04
36,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,10,OK,1,4,47.04
37,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..16}]=>(N24) RETURN ?p LIMIT 100000,100,OK,2,4,47.04
