query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,74,95,44.72
2,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.72
7,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
12,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.72
17,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.72
22,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.72
27,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.72
32,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,480,OK,4,6,44.72
37,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,780,OK,7,10,44.72
42,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,1080,OK,9,11,44.72
47,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,1380,OK,12,14,45.23
52,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,1680,OK,16,19,46.56
57,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,1980,OK,24,27,48.35
62,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,2280,OK,37,40,52.72
67,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,2580,OK,62,66,62.76
72,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,2880,OK,108,111,77.75
77,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,3180,OK,199,203,106.4
82,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,3480,OK,380,385,166.04
87,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,3780,OK,752,757,271.17
92,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,4080,OK,1505,1511,416.34
97,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,4380,OK,3063,3068,724.01
102,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,4680,OK,6206,6212,1456.32
107,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,4980,OK,12715,12721,2900.84
112,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,5280,OK,26138,26144,5358.89
117,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,5580,OK,53274,53279,10602.12
122,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,18398.44
127,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,24888.09
