query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,152,197,44.78
1,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,2,5,44.78
41,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.78
81,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,3,44.78
121,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.78
161,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.78
201,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.78
241,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,7,44.78
281,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,6,10,44.78
321,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,16,19,44.78
361,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,24,27,44.78
401,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,68,71,44.78
441,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,135,141,44.78
481,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,298,307,44.78
521,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,636,651,44.78
561,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,989,1013,44.78
601,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,917,941,44.78
641,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1008,1032,45.54
681,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,975,999,49.2
721,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,928,953,51.48
