query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,143,188,44.42
3,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
43,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.55
83,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,3,44.55
123,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.55
163,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,3,44.55
203,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.55
243,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,6,44.55
283,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,7,10,44.55
323,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,14,17,44.55
363,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,33,37,45.05
403,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,65,70,50.19
443,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,152,158,55.44
483,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,312,322,64.97
523,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,649,665,82.33
563,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1059,1083,112.97
603,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1295,1321,170.12
643,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1510,1537,315.0
683,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,2006,2034,572.33
723,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,2716,2744,1145.55
763,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4561,4592,2279.85
803,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,7783,7814,4250.46
843,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,14448,14478,8745.65
