query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,143,188,44.42
1,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,2,4,44.55
2,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
3,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
4,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
5,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
6,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
7,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
8,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
9,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
10,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
11,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
12,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
13,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
14,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,0,3,44.55
15,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
16,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
17,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
18,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
19,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
20,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,0,3,44.55
21,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
22,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
23,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
24,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
25,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
26,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
27,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,0,3,44.55
28,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
29,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
30,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
31,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.55
32,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
33,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.55
