query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,152,197,44.78
1,MATCH (N0)=[SHORTEST 1 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,2,5,44.78
2,MATCH (N0)=[SHORTEST 2 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.78
3,MATCH (N0)=[SHORTEST 3 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
4,MATCH (N0)=[SHORTEST 4 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
5,MATCH (N0)=[SHORTEST 5 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
6,MATCH (N0)=[SHORTEST 6 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
7,MATCH (N0)=[SHORTEST 7 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
8,MATCH (N0)=[SHORTEST 8 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
9,MATCH (N0)=[SHORTEST 9 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
10,MATCH (N0)=[SHORTEST 10 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
11,MATCH (N0)=[SHORTEST 11 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
12,MATCH (N0)=[SHORTEST 12 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.78
13,MATCH (N0)=[SHORTEST 13 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
14,MATCH (N0)=[SHORTEST 14 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
15,MATCH (N0)=[SHORTEST 15 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
16,MATCH (N0)=[SHORTEST 16 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,0,3,44.78
17,MATCH (N0)=[SHORTEST 17 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.78
18,MATCH (N0)=[SHORTEST 18 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
19,MATCH (N0)=[SHORTEST 19 GROUPS WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.78
