query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,74,95,44.72
1,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.72
2,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.72
3,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.72
4,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.72
5,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.72
6,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
7,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
8,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
9,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
10,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.72
11,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,3,44.72
12,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.72
13,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.72
14,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.72
15,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.72
16,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,54,OK,1,4,44.72
17,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.72
18,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.72
19,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.72
20,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,3,44.72
21,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,84,OK,1,4,44.72
22,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.72
23,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.72
24,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.72
25,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.72
26,MATCH (N0)=[SHORTEST 10 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,114,OK,1,4,44.72
27,MATCH (N0)=[SHORTEST 100 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.72
28,MATCH (N0)=[SHORTEST 1000 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,4,44.72
29,MATCH (N0)=[SHORTEST 10000 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.72
30,MATCH (N0)=[SHORTEST 100000 TRAILS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,4,44.72
