query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,81,99,44.79
1,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.79
2,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.79
3,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,3,44.79
4,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.79
5,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.79
6,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.79
7,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.79
8,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.79
9,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,3,44.79
10,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.79
11,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.79
12,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.79
13,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,3,44.79
14,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.79
15,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.79
16,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,54,OK,1,4,44.79
17,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.79
18,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.79
19,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.79
20,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,60,OK,1,4,44.79
21,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,84,OK,1,4,44.79
22,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.79
23,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.79
24,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.79
25,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,124,OK,1,4,44.79
26,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,114,OK,1,4,44.79
27,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,4,44.79
28,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.79
29,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.79
30,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,252,OK,2,5,44.79
31,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,144,OK,1,4,44.79
32,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,480,OK,3,6,44.79
33,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,6,44.79
34,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,6,44.79
35,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,508,OK,3,6,44.79
36,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,174,OK,2,5,44.79
37,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,780,OK,5,8,44.79
38,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,7,10,44.79
39,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,6,9,44.79
40,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,1020,OK,7,10,44.79
41,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,204,OK,2,5,44.79
42,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,1080,OK,7,10,44.79
43,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,14,18,44.79
44,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,13,17,44.79
45,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,2044,OK,13,16,44.79
46,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,234,OK,2,5,44.79
47,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,1380,OK,10,13,44.79
48,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4068,OK,29,32,44.79
49,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,30,34,44.79
50,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,4092,OK,29,32,44.79
51,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,264,OK,3,6,44.79
52,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,1680,OK,12,15,44.79
53,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,7068,OK,57,61,44.79
54,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,75,79,44.79
55,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,8188,OK,62,67,44.79
56,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,294,OK,4,6,44.79
57,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,1980,OK,15,18,44.79
58,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,10068,OK,83,87,44.79
59,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,142,148,44.79
60,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,16380,OK,133,140,44.79
61,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,324,OK,4,7,44.79
62,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,2280,OK,18,22,44.79
63,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,13068,OK,112,117,44.79
64,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,290,298,44.79
65,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,32764,OK,282,291,44.79
66,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,354,OK,5,8,44.79
67,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,2580,OK,24,28,44.79
68,MATCH (N0)=[SHORTEST 1000 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,16068,OK,153,159,44.79
69,MATCH (N0)=[SHORTEST 10000 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,59148,OK,615,629,44.79
70,MATCH (N0)=[SHORTEST 100000 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,65532,OK,728,743,44.79
71,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,384,OK,6,9,44.79
72,MATCH (N0)=[SHORTEST 100 WALKS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,2880,OK,27,30,44.79
