query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=shortestPath((:N{id:"N2997"})-[:E*1..2]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,4819,4955
2,MATCH p=shortestPath((:N{id:"N2997"})-[:E*1..2]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,12,20
3,MATCH p=shortestPath((:N{id:"N2994"})-[:E*1..4]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,172,182
4,MATCH p=shortestPath((:N{id:"N2991"})-[:E*1..6]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,152,163
5,MATCH p=shortestPath((:N{id:"N2988"})-[:E*1..8]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,139,152
6,MATCH p=shortestPath((:N{id:"N2985"})-[:E*1..10]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,128,140
7,MATCH p=shortestPath((:N{id:"N2982"})-[:E*1..12]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,115,136
8,MATCH p=shortestPath((:N{id:"N2979"})-[:E*1..14]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,138,153
9,MATCH p=shortestPath((:N{id:"N2976"})-[:E*1..16]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,128,142
10,MATCH p=shortestPath((:N{id:"N2973"})-[:E*1..18]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,107,121
11,MATCH p=shortestPath((:N{id:"N2970"})-[:E*1..20]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,110,123
12,MATCH p=shortestPath((:N{id:"N2967"})-[:E*1..22]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,94,105
13,MATCH p=shortestPath((:N{id:"N2964"})-[:E*1..24]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,87,103
14,MATCH p=shortestPath((:N{id:"N2961"})-[:E*1..26]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,94,108
15,MATCH p=shortestPath((:N{id:"N2958"})-[:E*1..28]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,114,130
16,MATCH p=shortestPath((:N{id:"N2955"})-[:E*1..30]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,114,132
17,MATCH p=shortestPath((:N{id:"N2952"})-[:E*1..32]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,92,109
18,MATCH p=shortestPath((:N{id:"N2949"})-[:E*1..34]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,87,103
19,MATCH p=shortestPath((:N{id:"N2946"})-[:E*1..36]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,84,99
20,MATCH p=shortestPath((:N{id:"N2943"})-[:E*1..38]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,103,118
21,MATCH p=shortestPath((:N{id:"N2940"})-[:E*1..40]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,92,109
22,MATCH p=shortestPath((:N{id:"N2937"})-[:E*1..42]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,83,100
23,MATCH p=shortestPath((:N{id:"N2934"})-[:E*1..44]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,88,104
24,MATCH p=shortestPath((:N{id:"N2931"})-[:E*1..46]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,80,98
25,MATCH p=shortestPath((:N{id:"N2928"})-[:E*1..48]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,83,102
26,MATCH p=shortestPath((:N{id:"N2925"})-[:E*1..50]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,77,96
27,MATCH p=shortestPath((:N{id:"N2922"})-[:E*1..52]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,82,101
28,MATCH p=shortestPath((:N{id:"N2919"})-[:E*1..54]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,86,103
29,MATCH p=shortestPath((:N{id:"N2916"})-[:E*1..56]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,72,92
30,MATCH p=shortestPath((:N{id:"N2913"})-[:E*1..58]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,81,99
31,MATCH p=shortestPath((:N{id:"N2910"})-[:E*1..60]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,73,94
32,MATCH p=shortestPath((:N{id:"N2907"})-[:E*1..62]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,64,85
33,MATCH p=shortestPath((:N{id:"N2904"})-[:E*1..64]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,83,104
34,MATCH p=shortestPath((:N{id:"N2901"})-[:E*1..66]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,65,86
35,MATCH p=shortestPath((:N{id:"N2898"})-[:E*1..68]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,61,82
36,MATCH p=shortestPath((:N{id:"N2895"})-[:E*1..70]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,70,91
37,MATCH p=shortestPath((:N{id:"N2892"})-[:E*1..72]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,85,106
38,MATCH p=shortestPath((:N{id:"N2889"})-[:E*1..74]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,109,129
39,MATCH p=shortestPath((:N{id:"N2886"})-[:E*1..76]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,80,99
40,MATCH p=shortestPath((:N{id:"N2883"})-[:E*1..78]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,69,90
41,MATCH p=shortestPath((:N{id:"N2880"})-[:E*1..80]->(:N{id:"N3000"})) RETURN p LIMIT 100000,1,OK,66,89
