query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,1,OK,4690,6918
2,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,1,OK,51,1542
3,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,3,OK,41,2451
4,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,5,OK,36,3435
5,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,7,OK,28,3428
6,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,11,OK,35,3660
7,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,16,OK,45,6844
8,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,23,OK,32,6672
9,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,33,OK,38,6629
10,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,53,OK,34,9874
11,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
12,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,2,OK,132,3298
13,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,27,OK,29,6628
14,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
15,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
16,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
17,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
18,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
19,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
20,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
21,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
22,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
23,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
24,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
25,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
26,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
27,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
28,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
29,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
30,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
31,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
32,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
33,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
34,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
35,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
36,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
37,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
38,MATCH p=allShortestPaths((:Person{id:"224165"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
39,MATCH p=allShortestPaths((:Person{id:"696585"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
40,MATCH p=allShortestPaths((:Person{id:"617475"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
41,MATCH p=allShortestPaths((:Person{id:"613913"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
42,MATCH p=allShortestPaths((:Person{id:"131416"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
43,MATCH p=allShortestPaths((:Person{id:"472869"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
44,MATCH p=allShortestPaths((:Person{id:"5867"})-[:Knows*1..4]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
45,MATCH p=allShortestPaths((:Person{id:"1632803"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
46,MATCH p=allShortestPaths((:Person{id:"531242"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
47,MATCH p=allShortestPaths((:Person{id:"1334631"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
48,MATCH p=allShortestPaths((:Person{id:"1276136"})-[:Knows*1..5]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
