query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=(:Person{id:"1632803"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,1,OK,4949,5167
2,MATCH p=(:Person{id:"531242"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,1,OK,54,135
3,MATCH p=(:Person{id:"1334631"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,3,OK,52,235
4,MATCH p=(:Person{id:"1276136"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,5,OK,53,361
5,MATCH p=(:Person{id:"224165"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,7,OK,53,323
6,MATCH p=(:Person{id:"696585"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,11,OK,49,375
7,MATCH p=(:Person{id:"617475"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,16,OK,53,483
8,MATCH p=(:Person{id:"613913"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,23,OK,48,524
9,MATCH p=(:Person{id:"131416"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,33,OK,42,443
10,MATCH p=(:Person{id:"472869"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,53,OK,42,508
11,MATCH p=(:Person{id:"5867"})-[:Knows*1..1]->(n) RETURN p LIMIT 100000,8763,OK,47,2139
12,MATCH p=(:Person{id:"1632803"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,3,OK,165,211
13,MATCH p=(:Person{id:"531242"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,28,OK,37,182
14,MATCH p=(:Person{id:"1334631"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,16,OK,33,186
15,MATCH p=(:Person{id:"1276136"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,171,OK,33,706
16,MATCH p=(:Person{id:"224165"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,200,OK,39,946
17,MATCH p=(:Person{id:"696585"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,459,OK,45,1180
18,MATCH p=(:Person{id:"617475"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,1731,OK,45,1616
19,MATCH p=(:Person{id:"613913"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,529,OK,31,2698
20,MATCH p=(:Person{id:"131416"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,2187,OK,33,2983
21,MATCH p=(:Person{id:"472869"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,1790,OK,31,7238
22,MATCH p=(:Person{id:"5867"})-[:Knows*1..2]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
23,MATCH p=(:Person{id:"1632803"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,7,OK,102,333
24,MATCH p=(:Person{id:"531242"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,966,OK,34,1807
25,MATCH p=(:Person{id:"1334631"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,131,OK,29,1883
26,MATCH p=(:Person{id:"1276136"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,8419,OK,39,6433
27,MATCH p=(:Person{id:"224165"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,7534,OK,30,12256
28,MATCH p=(:Person{id:"696585"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,23558,OK,31,17103
29,MATCH p=(:Person{id:"617475"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,97365,OK,27,50248
30,MATCH p=(:Person{id:"613913"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,11579,OK,26,28845
31,MATCH p=(:Person{id:"131416"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,100000,OK,35,41066
32,MATCH p=(:Person{id:"472869"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
33,MATCH p=(:Person{id:"5867"})-[:Knows*1..3]->(n) RETURN p LIMIT 100000,100000,OK,33,27322
34,MATCH p=(:Person{id:"1632803"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,106,OK,107,312
35,MATCH p=(:Person{id:"531242"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,42867,OK,34,27519
36,MATCH p=(:Person{id:"1334631"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,2168,OK,33,3742
37,MATCH p=(:Person{id:"1276136"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,32,40802
38,MATCH p=(:Person{id:"224165"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,30,41970
39,MATCH p=(:Person{id:"696585"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,36,52676
40,MATCH p=(:Person{id:"617475"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,24,47874
41,MATCH p=(:Person{id:"613913"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
42,MATCH p=(:Person{id:"131416"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,31,35892
43,MATCH p=(:Person{id:"472869"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,20,41771
44,MATCH p=(:Person{id:"5867"})-[:Knows*1..4]->(n) RETURN p LIMIT 100000,100000,OK,25,32353
45,MATCH p=(:Person{id:"1632803"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,2402,OK,95,4185
46,MATCH p=(:Person{id:"531242"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,40,41464
47,MATCH p=(:Person{id:"1334631"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
48,MATCH p=(:Person{id:"1276136"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,29,40853
49,MATCH p=(:Person{id:"224165"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,21,40498
50,MATCH p=(:Person{id:"696585"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,20,42737
51,MATCH p=(:Person{id:"617475"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,22,46685
52,MATCH p=(:Person{id:"613913"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,20,47224
53,MATCH p=(:Person{id:"131416"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,27,39607
54,MATCH p=(:Person{id:"472869"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,36,39958
55,MATCH p=(:Person{id:"5867"})-[:Knows*1..5]->(n) RETURN p LIMIT 100000,100000,OK,24,38263
