query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,1,OK,4806,6833
2,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,1,OK,47,1392
3,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,3,OK,35,2288
4,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,5,OK,33,3175
5,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,7,OK,37,3232
6,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,11,OK,51,3576
7,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,16,OK,31,6524
8,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,23,OK,36,6322
9,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,33,OK,40,6083
10,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,53,OK,38,8997
11,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..1]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
12,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,2,OK,118,2806
13,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,27,OK,28,6172
14,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
15,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
16,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
17,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
18,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
19,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
20,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
21,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
22,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..2]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
23,MATCH p=shortestPath((:Person{id:"1632803"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
24,MATCH p=shortestPath((:Person{id:"531242"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
25,MATCH p=shortestPath((:Person{id:"1334631"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
26,MATCH p=shortestPath((:Person{id:"1276136"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
27,MATCH p=shortestPath((:Person{id:"224165"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
28,MATCH p=shortestPath((:Person{id:"696585"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
29,MATCH p=shortestPath((:Person{id:"617475"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
30,MATCH p=shortestPath((:Person{id:"613913"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
31,MATCH p=shortestPath((:Person{id:"131416"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
32,MATCH p=shortestPath((:Person{id:"472869"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
33,MATCH p=shortestPath((:Person{id:"5867"})-[:Knows*1..3]->(n)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
