query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=shortestPath((:Entity{id:'Q10281806'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
2,MATCH p=shortestPath((:Entity{id:'Q11193'})-[:P279*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
3,MATCH p=shortestPath((:Entity{id:'Q111'})-[:P31]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
4,MATCH p=shortestPath((:Entity{id:'Q111'})-[:P31]->()-[:P279]->()-[:P279*1..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
5,MATCH p=shortestPath((:Entity{id:'Q111'})-[:P31]->()-[:P279*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
6,MATCH p=shortestPath((:Entity{id:'Q111'})-[:P31]->()-[:P279*1..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
8,MATCH p=shortestPath((:Entity{id:'Q118146'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
9,MATCH p=shortestPath((:Entity{id:'Q11941017'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
10,MATCH p=shortestPath((:Entity{id:'Q1236511'})-[:P31]->()-[:P279*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
11,MATCH p=shortestPath((:Entity{id:'Q13442814'})<-[:P31]-(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
12,MATCH p=shortestPath((:Entity{id:'Q1367808'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
13,MATCH p=shortestPath((:Entity{id:'Q1502481'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
14,MATCH p=shortestPath((:Entity{id:'Q1549583'})-[:P131*0..]->(x1)) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
