query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH p=(:Entity{id:'Q10281806'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,4818,5321
2,MATCH p=(:Entity{id:'Q11193'})-[:P279*0..]->(x1) RETURN p LIMIT 100000,29,OK,198,1237
3,MATCH p=(:Entity{id:'Q111'})-[:P31]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->()-[:P279*0..1]->(x1) RETURN p LIMIT 100000,163,OK,951,1567
4,MATCH p=(:Entity{id:'Q111'})-[:P31]->()-[:P279]->()-[:P279*1..]->(x1) RETURN p LIMIT 100000,89,OK,233,362
5,MATCH p=(:Entity{id:'Q111'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,91,OK,115,185
6,MATCH p=(:Entity{id:'Q111'})-[:P31]->()-[:P279*1..]->(x1) RETURN p LIMIT 100000,90,OK,115,193
8,MATCH p=(:Entity{id:'Q118146'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,11,OK,50,278
9,MATCH p=(:Entity{id:'Q11941017'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,33,275
10,MATCH p=(:Entity{id:'Q1236511'})-[:P31]->()-[:P279*0..]->(x1) RETURN p LIMIT 100000,337,OK,37,1945
11,MATCH p=(:Entity{id:'Q13442814'})<-[:P31]-(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
12,MATCH p=(:Entity{id:'Q1367808'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,38,218
13,MATCH p=(:Entity{id:'Q1502481'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,43,201
14,MATCH p=(:Entity{id:'Q1549583'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,37,190
15,MATCH p=(:Entity{id:'Q15850691'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,43,175
16,MATCH p=(:Entity{id:'Q1625526'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,33,122
17,MATCH p=(:Entity{id:'Q1628288'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,31,171
18,MATCH p=(:Entity{id:'Q1637057'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,36,103
19,MATCH p=(:Entity{id:'Q1644223'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,33,102
20,MATCH p=(:Entity{id:'Q1651871'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,31,92
21,MATCH p=(:Entity{id:'Q1656682'})-[:P279|P31]->()-[:P279|P31*0..]->(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
22,MATCH p=(:Entity{id:'Q1800276'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,7,OK,44,181
23,MATCH p=(:Entity{id:'Q18003161'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,31,80
24,MATCH p=(:Entity{id:'Q185230'})-[:P171*0..]->(x1) RETURN p LIMIT 100000,18437,OK,77,23108
25,MATCH p=(:Entity{id:'Q1971093'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,24,229
26,MATCH p=(:Entity{id:'Q20202327'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,17,OK,31,185
27,MATCH p=(:Entity{id:'Q20299171'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,4,OK,26,119
28,MATCH p=(:Entity{id:'Q20304516'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,8,OK,39,240
29,MATCH p=(:Entity{id:'Q204756'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,29,150
30,MATCH p=(:Entity{id:'Q217230'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,1,OK,33,93
31,MATCH p=(:Entity{id:'Q21869377'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,24,199
32,MATCH p=(:Entity{id:'Q2315249'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,3,OK,36,136
33,MATCH p=(:Entity{id:'Q2321874'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,40,149
34,MATCH p=(:Entity{id:'Q23794244'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,21,OK,30,125
35,MATCH p=(:Entity{id:'Q23826203'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,28,91
36,MATCH p=(:Entity{id:'Q24192592'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,33,315
37,MATCH p=(:Entity{id:'Q257023'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,6,OK,37,171
38,MATCH p=(:Entity{id:'Q25930719'})-[:P31|P279*0..]->(x1) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
39,MATCH p=(:Entity{id:'Q28733563'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,30,83
40,MATCH p=(:Entity{id:'Q28733587'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,9,OK,28,158
41,MATCH p=(:Entity{id:'Q28733595'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,7,OK,30,38
42,MATCH p=(:Entity{id:'Q28733811'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,5,OK,20,62
43,MATCH p=(:Entity{id:'Q28734638'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,7,OK,31,73
44,MATCH p=(:Entity{id:'Q28734951'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,7,OK,32,85
45,MATCH p=(:Entity{id:'Q28738934'})-[:P131*0..]->(x1) RETURN p LIMIT 100000,7,OK,28,89
