query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,108,130,900.66
2,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,438,OK,129,132,900.66
3,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,20017,OK,1613,1618,904.46
4,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,3978,3988,917.17
5,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,286,296,925.41
6,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,274,284,933.66
7,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,293,302,941.91
8,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,297,307,950.15
9,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,273,282,958.4
10,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,271,281,966.64
11,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,291,301,974.89
12,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,266,276,976.91
