query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,139,161,899.92
2,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,137,140,901.92
3,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,23558,OK,1463,1467,904.66
4,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4334,4343,916.57
5,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,278,286,921.98
6,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,259,267,927.39
7,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,259,268,932.8
8,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,267,275,938.21
9,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,273,281,943.37
10,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,277,286,943.27
11,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,273,282,948.68
12,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,259,268,948.5
