query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,147,169,896.85
2,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,104,107,898.85
3,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,23558,OK,1539,1543,902.91
4,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,5430,5439,911.66
5,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4365,4378,917.91
6,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,3482,3495,921.91
7,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,5313,5327,927.91
8,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4109,4124,931.91
9,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,539,555,931.91
10,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,3922,3939,937.91
11,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4311,4330,941.91
12,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,764,785,941.91
