query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,122,137,898.19
2,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,385,OK,128,131,900.19
3,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,12348,OK,1561,1565,903.91
4,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,10086,10095,926.73
5,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,330,339,936.71
6,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,351,360,946.7
7,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,344,353,957.18
8,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,347,356,967.17
9,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,341,350,977.15
10,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,341,350,987.14
11,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,347,356,987.14
12,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,347,355,997.12
