query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,156,177,900.23
2,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,385,OK,104,107,902.23
3,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,12348,OK,1545,1549,907.25
4,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,9947,9956,935.87
5,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,316,325,950.56
6,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,321,330,965.25
7,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,321,330,979.95
8,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,324,333,994.64
9,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,315,324,1009.33
10,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,307,317,1024.02
11,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,318,327,1038.2
12,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,308,317,1052.89
