query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,129,149,900.78
2,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,385,OK,66,69,900.78
3,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,12348,OK,1436,1439,904.75
4,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,10645,10654,921.86
5,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,10475,10487,934.12
6,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,9440,9454,946.3
7,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,6471,6486,954.48
8,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,7036,7052,962.66
9,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,2156,2173,964.96
10,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,3913,3930,969.14
11,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4307,4326,975.32
12,MATCH (P696585)=[ANY TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1640,1660,977.34
