query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[:Knows{1..1}]=>(?n) RETURN ?n LIMIT 100000,11,OK,130,148,899.8
2,MATCH (P696585)=[:Knows{1..2}]=>(?n) RETURN ?n LIMIT 100000,385,OK,108,112,901.8
3,MATCH (P696585)=[:Knows{1..3}]=>(?n) RETURN ?n LIMIT 100000,12348,OK,1426,1430,907.05
4,MATCH (P696585)=[:Knows{1..4}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,9839,9843,927.82
5,MATCH (P696585)=[:Knows{1..5}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,83,87,937.81
6,MATCH (P696585)=[:Knows{1..6}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,90,94,947.79
7,MATCH (P696585)=[:Knows{1..7}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,91,957.78
8,MATCH (P696585)=[:Knows{1..8}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,89,968.16
9,MATCH (P696585)=[:Knows{1..9}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,85,89,978.14
10,MATCH (P696585)=[:Knows{1..10}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,87,91,988.12
11,MATCH (P696585)=[:Knows{1..11}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,88,92,998.11
12,MATCH (P696585)=[:Knows{1..12}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,83,87,998.11
