query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,124,143,898.87
2,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,83,86,900.87
3,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,21943,OK,1563,1567,907.12
4,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,24178,24188,996.76
5,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1204,1214,1056.31
6,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1198,1208,1115.86
7,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1195,1205,1175.41
8,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1202,1213,1234.96
9,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1186,1195,1294.51
10,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1182,1191,1354.06
11,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1184,1193,1413.61
12,MATCH (P696585)=[SHORTEST 10 TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,1189,1198,1473.16
