query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,104,122,898.87
2,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,134,137,901.12
3,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,21943,OK,1620,1624,908.38
4,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,10536,10545,959.81
5,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,685,695,999.77
6,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,694,703,1039.73
7,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,684,694,1079.62
8,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,690,700,1119.57
9,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,681,690,1159.53
10,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,685,695,1199.49
11,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,680,689,1239.45
12,MATCH (P696585)=[SHORTEST 10 WALKS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,684,693,1279.4
