query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,146,165,901.2
2,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,91,95,901.2
3,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,23558,OK,1513,1518,906.73
4,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,36724,36734,1048.82
5,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,1593.22
6,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,6173.3
7,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,39346,39358,11229.5
8,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,38245,38257,16277.69
9,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,38985,38997,21326.04
10,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,39324,39336,26374.3
11,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,38326,38338,31422.73
12,MATCH (P696585)=[SHORTEST 5 GROUPS TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,38237,38249,36471.13
