query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,133,148,902.11
2,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,86,89,906.11
3,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,23563,OK,1555,1560,912.43
4,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,38253,38262,1052.07
5,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,1475.81
6,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,52935,52947,2617.23
7,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,22689,22701,3596.45
8,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,22352,22365,4575.67
9,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,23240,23252,5554.89
10,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,22077,22089,6534.12
11,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,22228,22240,7513.34
12,MATCH (P696585)=[SHORTEST 5 GROUPS WALKS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,22654,22666,8492.56
