query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,240,280,9520.0
2,MATCH (Q11193)=[ALL SHORTEST ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,21,OK,73,76,9570.16
3,MATCH (Q111)=[ALL SHORTEST ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,20,OK,31,34,9588.16
4,MATCH (Q111)=[ALL SHORTEST ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,39,OK,2,4,9588.16
5,MATCH (Q111)=[ALL SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,41,OK,1,4,9588.16
6,MATCH (Q111)=[ALL SHORTEST ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,40,OK,1,3,9588.16
7,MATCH (Q11629)=[ALL SHORTEST ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,71,OK,177,180,9700.27
8,MATCH (Q118146)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,23,26,9718.27
9,MATCH (Q11941017)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,40,9726.27
10,MATCH (Q1236511)=[ALL SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,44,OK,56,59,9756.27
11,MATCH (Q13442814)=[ALL SHORTEST ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,257,265,9892.75
12,MATCH (Q1367808)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,22,26,9898.75
13,MATCH (Q1502481)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,9902.75
14,MATCH (Q1549583)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,39,42,9904.75
15,MATCH (Q15850691)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,9910.75
16,MATCH (Q1625526)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,9910.75
17,MATCH (Q1628288)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,12,9912.75
18,MATCH (Q1637057)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,9916.75
19,MATCH (Q1644223)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,30,9916.75
20,MATCH (Q1651871)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,9918.75
21,MATCH (Q1656682)=[ALL SHORTEST ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,8,OK,26,29,9922.75
22,MATCH (Q1800276)=[ALL SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,30,33,9928.75
