query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,233,252,9521.59
2,MATCH (Q11193)=[ALL TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,68,71,9569.75
3,MATCH (Q111)=[ALL TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,23,25,9585.75
4,MATCH (Q111)=[ALL TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,89,OK,7,9,9585.75
5,MATCH (Q111)=[ALL TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,91,OK,1,4,9585.75
6,MATCH (Q111)=[ALL TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,90,OK,1,4,9585.75
7,MATCH (Q11629)=[ALL TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,251,OK,207,210,9704.12
8,MATCH (Q118146)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,30,33,9722.12
9,MATCH (Q11941017)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,41,9736.12
10,MATCH (Q1236511)=[ALL TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,337,OK,69,73,9770.12
11,MATCH (Q13442814)=[ALL TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,210,218,9893.56
12,MATCH (Q1367808)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,40,43,9899.56
13,MATCH (Q1502481)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,38,40,9905.56
14,MATCH (Q1549583)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,40,43,9907.56
15,MATCH (Q15850691)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,9913.56
16,MATCH (Q1625526)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,32,9915.56
17,MATCH (Q1628288)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,9,12,9917.56
18,MATCH (Q1637057)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,43,47,9921.56
19,MATCH (Q1644223)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,26,29,9925.56
20,MATCH (Q1651871)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,9929.56
21,MATCH (Q1656682)=[ALL TRAILS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,12,OK,26,29,9929.56
22,MATCH (Q1800276)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,21,24,9935.56
23,MATCH (Q18003161)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,28,31,9939.56
24,MATCH (Q185230)=[ALL TRAILS ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,18437,OK,266,273,9948.32
25,MATCH (Q1971093)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,13,17,9950.32
