query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,266,281,9522.56
2,MATCH (Q11193)=[ALL TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,73,76,9570.72
3,MATCH (Q111)=[ALL TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,21,24,9584.72
4,MATCH (Q111)=[ALL TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,89,OK,2,5,9584.72
5,MATCH (Q111)=[ALL TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,91,OK,1,4,9584.72
6,MATCH (Q111)=[ALL TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,90,OK,1,4,9584.72
7,MATCH (Q11629)=[ALL TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,251,OK,186,189,9689.11
8,MATCH (Q118146)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,28,31,9703.11
9,MATCH (Q11941017)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,39,42,9713.11
10,MATCH (Q1236511)=[ALL TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,337,OK,50,53,9745.11
11,MATCH (Q13442814)=[ALL TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,233,241,9871.63
12,MATCH (Q1367808)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,40,9877.63
13,MATCH (Q1502481)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,29,32,9881.63
14,MATCH (Q1549583)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,32,35,9885.63
15,MATCH (Q15850691)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,32,36,9889.63
16,MATCH (Q1625526)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,9889.63
17,MATCH (Q1628288)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9891.63
18,MATCH (Q1637057)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,9893.63
19,MATCH (Q1644223)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,30,9893.63
20,MATCH (Q1651871)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,9895.63
21,MATCH (Q1656682)=[ALL TRAILS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,12,OK,34,37,9901.63
22,MATCH (Q1800276)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,21,24,9907.63
23,MATCH (Q18003161)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,20,23,9909.63
24,MATCH (Q185230)=[ALL TRAILS ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,18437,OK,272,280,9927.63
25,MATCH (Q1971093)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,14,17,9929.63
26,MATCH (Q20202327)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,17,OK,37,41,9933.63
27,MATCH (Q20299171)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,25,29,9937.63
28,MATCH (Q20304516)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,8,OK,48,51,9939.63
29,MATCH (Q204756)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,2,5,9939.63
30,MATCH (Q217230)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,1,4,9939.63
31,MATCH (Q21869377)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,29,32,9943.63
32,MATCH (Q2315249)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,31,34,9943.63
33,MATCH (Q2321874)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,29,32,9947.63
34,MATCH (Q23794244)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,21,OK,25,28,9949.63
35,MATCH (Q23826203)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,27,30,9949.63
36,MATCH (Q24192592)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,24,27,9949.63
37,MATCH (Q257023)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9949.63
38,MATCH (Q25930719)=[ALL TRAILS ?p ((:P31|:P279))*]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,3007,3066,9967.63
39,MATCH (Q28733563)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,74,77,9967.63
40,MATCH (Q28733587)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,29,31,9967.63
41,MATCH (Q28733595)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,8,11,9967.63
42,MATCH (Q28733811)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,13,9967.63
43,MATCH (Q28734638)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,22,25,9967.63
44,MATCH (Q28734951)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,36,9967.63
45,MATCH (Q28738934)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,32,35,9967.63
46,MATCH (Q28738935)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,15,19,9967.63
47,MATCH (Q28738964)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,20,24,9967.63
48,MATCH (Q29018634)=[ALL TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,36,39,9969.63
