query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,274,288,9526.78
2,MATCH (Q11193)=[ANY SHORTEST ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,20,OK,81,84,9580.93
3,MATCH (Q111)=[ANY SHORTEST ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,11,OK,27,29,9598.93
4,MATCH (Q111)=[ANY SHORTEST ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,2,5,9600.93
5,MATCH (Q111)=[ANY SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,1,4,9600.93
6,MATCH (Q111)=[ANY SHORTEST ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,17,OK,1,4,9600.93
7,MATCH (Q11629)=[ANY SHORTEST ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,63,OK,206,208,9711.29
8,MATCH (Q118146)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,48,51,9723.29
9,MATCH (Q11941017)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,40,9731.29
10,MATCH (Q1236511)=[ANY SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,42,OK,72,75,9759.29
11,MATCH (Q13442814)=[ANY SHORTEST ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,255,263,9853.33
12,MATCH (Q1367808)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,36,39,9861.33
13,MATCH (Q1502481)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,30,9865.33
14,MATCH (Q1549583)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,24,26,9867.33
15,MATCH (Q15850691)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,35,38,9873.33
16,MATCH (Q1625526)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,32,9873.33
17,MATCH (Q1628288)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9875.33
18,MATCH (Q1637057)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,47,50,9879.33
19,MATCH (Q1644223)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,28,31,9885.33
20,MATCH (Q1651871)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,29,9887.33
21,MATCH (Q1656682)=[ANY SHORTEST ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,7,OK,27,29,9887.33
22,MATCH (Q1800276)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,15,18,9893.33
23,MATCH (Q18003161)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,18,21,9893.33
24,MATCH (Q185230)=[ANY SHORTEST ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,36,OK,73,76,9919.33
25,MATCH (Q1971093)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,9,11,9919.33
26,MATCH (Q20202327)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,8,OK,39,41,9921.33
27,MATCH (Q20299171)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,43,46,9925.33
28,MATCH (Q20304516)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,32,35,9927.33
29,MATCH (Q204756)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,4,9927.33
30,MATCH (Q217230)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,1,3,9927.33
31,MATCH (Q21869377)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,9931.33
32,MATCH (Q2315249)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,29,32,9931.33
33,MATCH (Q2321874)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,31,34,9931.33
34,MATCH (Q23794244)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,15,18,9931.33
35,MATCH (Q23826203)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,32,9933.33
36,MATCH (Q24192592)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,24,27,9933.33
37,MATCH (Q257023)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9933.33
38,MATCH (Q25930719)=[ANY SHORTEST ?p ((:P31|:P279))*]=>(?x1) RETURN ?p LIMIT 100000,237,OK,775,778,9981.33
39,MATCH (Q28733563)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,30,32,9981.33
40,MATCH (Q28733587)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,9981.33
41,MATCH (Q28733595)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,8,11,9981.33
42,MATCH (Q28733811)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,21,24,9981.33
43,MATCH (Q28734638)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,37,39,9983.33
44,MATCH (Q28734951)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,35,9983.33
45,MATCH (Q28738934)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,32,34,9985.33
46,MATCH (Q28738935)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,8,10,9985.33
47,MATCH (Q28738964)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,30,32,9985.33
48,MATCH (Q29018634)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,45,47,9985.33
49,MATCH (Q29871816)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,32,34,9985.33
50,MATCH (Q29872961)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,11,14,9985.33
51,MATCH (Q29872979)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,9,11,9987.33
52,MATCH (Q29873614)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,24,27,9987.33
53,MATCH (Q29873624)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,8,10,9987.33
54,MATCH (Q29874692)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,6,8,9987.33
55,MATCH (Q29875500)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,20,22,9987.33
56,MATCH (Q29875661)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,10,12,9987.33
57,MATCH (Q29884672)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,7,9,9989.33
58,MATCH (Q2)=[ANY SHORTEST ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,20,OK,16,18,9989.33
59,MATCH (Q2)=[ANY SHORTEST ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,1,3,9989.33
60,MATCH (Q2)=[ANY SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,20,OK,1,3,9989.33
61,MATCH (Q2)=[ANY SHORTEST ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,19,OK,1,3,9989.33
62,MATCH (Q3044)=[ANY SHORTEST ?p (:P40)*]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,2229,2259,10024.94
63,MATCH (Q3044)=[ANY SHORTEST ?p (:P40/(:P40)*)]=>(Q8016) RETURN ?p LIMIT 100000,1,OK,564,568,10029.96
64,MATCH (Q30)=[ANY SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,113,OK,82,85,10029.96
65,MATCH (Q326313)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,13,16,10029.96
66,MATCH (Q328046)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,1,4,10029.96
67,MATCH (Q3454165)=[ANY SHORTEST ?p ((^:P161/:P161))+]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,2952,2963,10078.8
68,MATCH (Q34644785)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,59,62,10078.8
69,MATCH (Q35001555)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,37,40,10078.8
70,MATCH (Q3582579)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,49,52,10078.8
71,MATCH (Q38133595)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,2,OK,61,64,10078.8
72,MATCH (Q390192)=[ANY SHORTEST ?p ^(:P40)*]=>(?x1) RETURN ?p LIMIT 100000,22336,OK,576,585,10086.05
73,MATCH (Q3947)=[ANY SHORTEST ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,30,OK,2,4,10086.05
74,MATCH (Q41259536)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,28,31,10086.05
75,MATCH (Q41321217)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,20,22,10086.05
76,MATCH (Q41323003)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,33,10086.05
77,MATCH (Q41353339)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,33,10086.05
78,MATCH (Q41354164)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,41,44,10086.77
79,MATCH (Q41411042)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,26,29,10086.77
80,MATCH (Q41417942)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,13,15,10086.77
81,MATCH (Q4176)=[ANY SHORTEST ?p (:P31/:P279)]=>(Q16970) RETURN ?p LIMIT 100000,0,OK,512,514,10093.91
82,MATCH (Q4235)=[ANY SHORTEST ?p (((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,18,21,10093.91
83,MATCH (Q428811)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,8,11,10093.91
84,MATCH (Q46)=[ANY SHORTEST ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,22,OK,27,30,10093.91
85,MATCH (Q480656)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,7,10,10093.91
86,MATCH (Q480801)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,2,5,10093.91
87,MATCH (Q481074)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,4,6,10093.91
88,MATCH (Q481075)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,3,10093.91
89,MATCH (Q481120)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,1,3,10093.91
90,MATCH (Q518801)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,1,3,10093.91
91,MATCH (Q582379)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,2,4,10093.91
92,MATCH (Q5964731)=[ANY SHORTEST ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,32,10093.91
93,MATCH (Q5)=[ANY SHORTEST ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,30,OK,31,34,10093.91
94,MATCH (Q5)=[ANY SHORTEST ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,30,OK,1,4,10093.91
