query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,232,247,9519.62
2,MATCH (Q11193)=[ANY TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,20,OK,72,75,9569.79
3,MATCH (Q111)=[ANY TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,11,OK,22,25,9585.79
4,MATCH (Q111)=[ANY TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,2,5,9585.79
5,MATCH (Q111)=[ANY TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,1,4,9585.79
6,MATCH (Q111)=[ANY TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,17,OK,1,4,9585.79
7,MATCH (Q11629)=[ANY TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,63,OK,177,181,9700.16
8,MATCH (Q118146)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,23,26,9720.16
9,MATCH (Q11941017)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,36,39,9734.16
10,MATCH (Q1236511)=[ANY TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,42,OK,61,64,9768.16
11,MATCH (Q13442814)=[ANY TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,269,277,9893.63
12,MATCH (Q1367808)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,9899.63
13,MATCH (Q1502481)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,32,35,9905.63
14,MATCH (Q1549583)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,40,42,9907.63
15,MATCH (Q15850691)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,35,37,9913.63
16,MATCH (Q1625526)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,32,9915.63
17,MATCH (Q1628288)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9917.63
18,MATCH (Q1637057)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,35,37,9921.63
19,MATCH (Q1644223)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,29,9925.63
20,MATCH (Q1651871)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,25,28,9929.63
21,MATCH (Q1656682)=[ANY TRAILS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,7,OK,25,28,9929.63
22,MATCH (Q1800276)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,21,24,9935.63
23,MATCH (Q18003161)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,28,31,9939.63
24,MATCH (Q185230)=[ANY TRAILS ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,36,OK,82,85,9948.38
25,MATCH (Q1971093)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,10,12,9950.38
26,MATCH (Q20202327)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,8,OK,37,39,9950.38
27,MATCH (Q20299171)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,26,29,9952.38
28,MATCH (Q20304516)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,34,36,9954.38
29,MATCH (Q204756)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,4,9954.38
30,MATCH (Q217230)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,1,3,9954.38
31,MATCH (Q21869377)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,22,25,9958.38
32,MATCH (Q2315249)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,48,50,9958.38
33,MATCH (Q2321874)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,30,32,9960.38
34,MATCH (Q23794244)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,17,20,9962.38
35,MATCH (Q23826203)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,30,9962.38
36,MATCH (Q24192592)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,24,27,9962.38
37,MATCH (Q257023)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,12,15,9964.38
38,MATCH (Q25930719)=[ANY TRAILS ?p ((:P31|:P279))*]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,12194.42
39,MATCH (Q28733563)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,46,49,12194.42
40,MATCH (Q28733587)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,38,41,12194.42
41,MATCH (Q28733595)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,9,11,12194.42
42,MATCH (Q28733811)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,12,12194.42
43,MATCH (Q28734638)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,31,33,12194.42
44,MATCH (Q28734951)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,35,12194.42
45,MATCH (Q28738934)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,32,34,12194.42
