query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,215,233,9522.51
2,MATCH (Q11193)=[ANY TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,20,OK,63,66,9570.67
3,MATCH (Q111)=[ANY TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,11,OK,27,30,9584.67
4,MATCH (Q111)=[ANY TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,2,5,9584.67
5,MATCH (Q111)=[ANY TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,1,4,9584.67
6,MATCH (Q111)=[ANY TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,17,OK,1,4,9584.67
7,MATCH (Q11629)=[ANY TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,63,OK,213,217,9691.03
8,MATCH (Q118146)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,28,32,9705.03
9,MATCH (Q11941017)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,39,42,9715.03
10,MATCH (Q1236511)=[ANY TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,42,OK,53,56,9747.27
11,MATCH (Q13442814)=[ANY TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,232,240,9866.21
12,MATCH (Q1367808)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,28,31,9872.21
13,MATCH (Q1502481)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,36,39,9876.91
14,MATCH (Q1549583)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,9880.91
15,MATCH (Q15850691)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,33,36,9884.91
16,MATCH (Q1625526)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,9886.91
17,MATCH (Q1628288)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,9,12,9888.91
18,MATCH (Q1637057)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,35,38,9890.91
19,MATCH (Q1644223)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,30,9890.91
20,MATCH (Q1651871)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,25,9892.91
21,MATCH (Q1656682)=[ANY TRAILS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,7,OK,34,37,9898.91
22,MATCH (Q1800276)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,22,25,9904.91
23,MATCH (Q18003161)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,19,22,9906.91
24,MATCH (Q185230)=[ANY TRAILS ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,36,OK,97,101,9924.91
25,MATCH (Q1971093)=[ANY TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,10,13,9926.91
