query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,233,249,9525.22
2,MATCH (Q11193)=[ANY ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,20,OK,72,76,9577.38
3,MATCH (Q111)=[ANY ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,11,OK,20,23,9597.38
4,MATCH (Q111)=[ANY ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,2,4,9597.38
5,MATCH (Q111)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,1,4,9597.38
6,MATCH (Q111)=[ANY ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,17,OK,1,4,9597.38
7,MATCH (Q11629)=[ANY ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,63,OK,203,206,9709.71
8,MATCH (Q118146)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,27,30,9723.71
9,MATCH (Q11941017)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,39,42,9733.71
10,MATCH (Q1236511)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,42,OK,48,52,9761.71
11,MATCH (Q13442814)=[ANY ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,275,283,9894.71
12,MATCH (Q1367808)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,28,32,9900.71
13,MATCH (Q1502481)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,39,9904.71
14,MATCH (Q1549583)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,9906.71
15,MATCH (Q15850691)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,9912.71
16,MATCH (Q1625526)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,32,9912.71
17,MATCH (Q1628288)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,9,12,9912.71
18,MATCH (Q1637057)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,60,63,9916.71
19,MATCH (Q1644223)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,26,29,9922.71
20,MATCH (Q1651871)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,9926.71
21,MATCH (Q1656682)=[ANY ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,36,9926.71
22,MATCH (Q1800276)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,22,24,9930.71
23,MATCH (Q18003161)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,21,23,9930.71
24,MATCH (Q185230)=[ANY ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,36,OK,77,80,9938.71
25,MATCH (Q1971093)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,13,17,9940.71
26,MATCH (Q20202327)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,8,OK,45,49,9940.71
27,MATCH (Q20299171)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,26,29,9942.71
28,MATCH (Q20304516)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,33,36,9946.71
29,MATCH (Q204756)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,4,9946.71
30,MATCH (Q217230)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,1,3,9946.71
31,MATCH (Q21869377)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,9950.71
32,MATCH (Q2315249)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,39,42,9950.71
33,MATCH (Q2321874)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,29,32,9950.71
34,MATCH (Q23794244)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,15,18,9950.71
35,MATCH (Q23826203)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,31,9950.71
36,MATCH (Q24192592)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,25,28,9950.71
37,MATCH (Q257023)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,9952.71
38,MATCH (Q25930719)=[ANY ?p ((:P31|:P279))*]=>(?x1) RETURN ?p LIMIT 100000,237,OK,743,747,9988.71
39,MATCH (Q28733563)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,36,39,9988.71
40,MATCH (Q28733587)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,32,9988.71
41,MATCH (Q28733595)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,9,12,9988.71
42,MATCH (Q28733811)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,12,9988.71
43,MATCH (Q28734638)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,31,33,9990.71
44,MATCH (Q28734951)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,36,9990.71
45,MATCH (Q28738934)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,31,34,9990.71
46,MATCH (Q28738935)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,16,19,9992.71
47,MATCH (Q28738964)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,21,24,9996.71
48,MATCH (Q29018634)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,36,39,9996.71
49,MATCH (Q29871816)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,48,51,9996.71
50,MATCH (Q29872961)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,10,13,9996.71
51,MATCH (Q29872979)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,8,11,9996.71
52,MATCH (Q29873614)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,16,19,9996.71
53,MATCH (Q29873624)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,7,10,9996.71
54,MATCH (Q29874692)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,5,8,9996.71
55,MATCH (Q29875500)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,19,23,9996.71
56,MATCH (Q29875661)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,8,11,9998.71
57,MATCH (Q29884672)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,15,18,10000.71
58,MATCH (Q2)=[ANY ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,20,OK,23,27,10000.71
59,MATCH (Q2)=[ANY ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,16,OK,1,3,10000.71
60,MATCH (Q2)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,20,OK,1,4,10000.71
61,MATCH (Q2)=[ANY ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,19,OK,1,4,10000.71
62,MATCH (Q3044)=[ANY ?p (:P40)*]=>(?x1) RETURN ?p LIMIT 100000,100000,OK,3040,3086,10022.34
63,MATCH (Q3044)=[ANY ?p (:P40/(:P40)*)]=>(Q8016) RETURN ?p LIMIT 100000,1,OK,16,20,10022.82
64,MATCH (Q30)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,113,OK,35,40,10022.82
65,MATCH (Q326313)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,5,9,10022.82
66,MATCH (Q328046)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,1,5,10022.82
67,MATCH (Q3454165)=[ANY ?p ((^:P161/:P161))+]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,10050.14
68,MATCH (Q34644785)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,39,44,10050.14
69,MATCH (Q35001555)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,27,32,10050.14
70,MATCH (Q3582579)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,30,35,10050.14
71,MATCH (Q38133595)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,2,OK,35,39,10050.14
72,MATCH (Q390192)=[ANY ?p ^(:P40)*]=>(?x1) RETURN ?p LIMIT 100000,22336,OK,1016,1027,10060.14
73,MATCH (Q3947)=[ANY ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,30,OK,2,6,10060.14
74,MATCH (Q41259536)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,41,45,10060.14
75,MATCH (Q41321217)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,44,49,10060.14
76,MATCH (Q41323003)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,29,33,10060.14
77,MATCH (Q41353339)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,28,33,10060.14
78,MATCH (Q41354164)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,35,10060.14
79,MATCH (Q41411042)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,33,37,10060.14
80,MATCH (Q41417942)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,14,10060.14
81,MATCH (Q4176)=[ANY ?p (:P31/:P279)]=>(Q16970) RETURN ?p LIMIT 100000,0,OK,474,479,10066.52
82,MATCH (Q4235)=[ANY ?p (((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,24,29,10066.52
83,MATCH (Q428811)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,2,6,10066.52
84,MATCH (Q46)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,22,OK,21,25,10066.52
85,MATCH (Q480656)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,18,22,10066.52
86,MATCH (Q480801)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,1,6,10066.52
87,MATCH (Q481074)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,15,10066.52
88,MATCH (Q481075)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,5,10066.52
89,MATCH (Q481120)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,1,4,10066.52
90,MATCH (Q518801)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,2,5,10066.52
91,MATCH (Q582379)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,19,23,10066.52
92,MATCH (Q5964731)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,34,10066.52
93,MATCH (Q5)=[ANY ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,30,OK,42,46,10066.52
94,MATCH (Q5)=[ANY ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,30,OK,1,5,10066.52
95,MATCH (Q5)=[ANY ?p (:P279/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,20,OK,1,5,10066.52
96,MATCH (Q640191)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,2,6,10066.52
97,MATCH (Q64)=[ANY ?p ((:P31)*/(:P279)*)]=>(Q811430) RETURN ?p LIMIT 100000,1,OK,69,73,10066.52
98,MATCH (Q64)=[ANY ?p (:P31/(:P279)*)]=>(Q811430) RETURN ?p LIMIT 100000,1,OK,1,5,10066.52
99,MATCH (Q6661223)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,42,46,10066.52
100,MATCH (Q7075)=[ANY ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,46,OK,11,16,10066.52
101,MATCH (Q7187)=[ANY ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,18,OK,24,28,10066.52
102,MATCH (Q748955)=[ANY ?p ^(:P40)*]=>(?x1) RETURN ?p LIMIT 100000,17700,OK,355,364,10068.52
103,MATCH (Q780438)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,16,21,10068.52
104,MATCH (Q80484)=[ANY ?p ((:P131)+/(:P17)*)]=>(Q145) RETURN ?p LIMIT 100000,0,OK,39,43,10068.52
105,MATCH (Q80484)=[ANY ?p ((:P131)+/(:P17)+)]=>(Q145) RETURN ?p LIMIT 100000,0,OK,1,5,10068.52
106,MATCH (Q81328)=[ANY ?p (((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,18,OK,24,28,10068.52
107,MATCH (Q8255504)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,31,35,10068.52
108,MATCH (Q835125)=[ANY ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,71,OK,2,6,10068.52
109,MATCH (Q894219)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,11,15,10068.52
110,MATCH (Q93633)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,7,12,10068.52
111,MATCH (Q939035)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,1,5,10068.52
112,MATCH (Q994059)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,5,10068.52
113,MATCH (Q998351)=[ANY ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,5,10068.52
114,MATCH (?x1)=[ANY ?p (((((((((((:P19|:P159)|:P740)|:P551)|:P27)|:P1416)|:P276)|:P131)|:P115)|:P1532)|(:P17/(:P131)*)))*]=>(Q858) RETURN ?p LIMIT 100000,23050,OK,11192,11198,10097.75
115,MATCH (?x1)=[ANY ?p (((((((((:P171|:P273)|:P75)|:P76)|:P77)|:P70)|:P71)|:P74)|:P89))*]=>(Q729) RETURN ?p LIMIT 100000,100000,OK,2907,2928,10121.37
116,MATCH (?x1)=[ANY ?p (((((:P279/:P279)/:P279)/:P279)/:P279)/:P279)]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,10283.72
117,MATCH (?x1)=[ANY ?p (((((:P31/:P279)/:P279)/:P279)/:P279)/:P279)]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,10733.72
118,MATCH (?x1)=[ANY ?p (((((:P37|:P103)|:P364)|:P407)|:P1412)|:P2439)]=>(?x2) RETURN ?p LIMIT 100000,100000,OK,1865,1873,10787.72
119,MATCH (?x1)=[ANY ?p ((((:P131)*/(:P17)?)/(:P30)?)/(:P361)?)]=>(Q48) RETURN ?p LIMIT 100000,100000,OK,1538,1548,10793.72
120,MATCH (?x1)=[ANY ?p ((((:P22|:P25)|:P40)|:P1038)|:P3373)]=>(?x2) RETURN ?p LIMIT 100000,100000,OK,1299,1307,10818.7
121,MATCH (?x1)=[ANY ?p ((((:P279/:P279)/:P279)/:P279)/:P279)]=>(?x1) RETURN ?p LIMIT 100000,0,OK,51249,51253,10904.78
122,MATCH (?x1)=[ANY ?p ((((:P31/:P279)/:P279)/:P279)/:P279)]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,11314.0
123,MATCH (?x1)=[ANY ?p (((:P106|:P39)|:P31)/(:P279)*)]=>(Q488383) RETURN ?p LIMIT 100000,100000,OK,1269,1280,11325.89
124,MATCH (?x1)=[ANY ?p (((:P106|:P39)|:P31)/(:P279)*)]=>(Q515) RETURN ?p LIMIT 100000,27850,OK,161,166,11327.92
125,MATCH (?x1)=[ANY ?p (((:P106|:P39)|:P31)/(:P279)*)]=>(Q5) RETURN ?p LIMIT 100000,100000,OK,517,527,11335.57
126,MATCH (?x1)=[ANY ?p (((:P106|:P39)|:P31)/(:P279)*)]=>(Q8502) RETURN ?p LIMIT 100000,100000,OK,131,137,11342.21
127,MATCH (?x1)=[ANY ?p (((:P1142)*/(:P1387)*)/(:P361)*)]=>(Q7264) RETURN ?p LIMIT 100000,276,OK,126,130,11342.21
128,MATCH (?x1)=[ANY ?p (((:P131)+|(:P361)+)|(:P279)+)]=>(?x2) RETURN ?p LIMIT 100000,100000,OK,2671,2681,11046.66
129,MATCH (?x1)=[ANY ?p (((:P131|(:P131/:P131))|((:P131/:P131)/:P131))|(((:P131/:P131)/:P131)/:P131))]=>(Q985) RETURN ?p LIMIT 100000,48992,OK,1605,1612,11052.66
