query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,229,247,9522.36
2,MATCH (Q11193)=[SHORTEST 10 TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,69,73,9568.53
3,MATCH (Q111)=[SHORTEST 10 TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,51,55,9584.53
4,MATCH (Q111)=[SHORTEST 10 TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,74,OK,2,5,9584.53
5,MATCH (Q111)=[SHORTEST 10 TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,76,OK,1,4,9584.53
6,MATCH (Q111)=[SHORTEST 10 TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,75,OK,1,4,9584.53
7,MATCH (Q11629)=[SHORTEST 10 TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,181,OK,197,201,9692.88
8,MATCH (Q118146)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,23,26,9710.88
9,MATCH (Q11941017)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,36,39,9720.88
10,MATCH (Q1236511)=[SHORTEST 10 TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,170,OK,58,61,9748.88
11,MATCH (Q13442814)=[SHORTEST 10 TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,13145.17
12,MATCH (Q1367808)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,38,41,13145.17
13,MATCH (Q1502481)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,56,59,13147.17
14,MATCH (Q1549583)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,13147.17
15,MATCH (Q15850691)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,13149.17
16,MATCH (Q1625526)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,13149.17
17,MATCH (Q1628288)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,9,12,13149.17
18,MATCH (Q1637057)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,44,47,13151.17
19,MATCH (Q1644223)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,13151.17
20,MATCH (Q1651871)=[SHORTEST 10 TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,13153.17
21,MATCH (Q1656682)=[SHORTEST 10 TRAILS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,12,OK,47,50,13153.17
