query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,231,254,9519.67
2,MATCH (Q11193)=[SHORTEST 10 WALKS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,73,76,9569.83
3,MATCH (Q111)=[SHORTEST 10 WALKS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,26,29,9585.83
4,MATCH (Q111)=[SHORTEST 10 WALKS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,74,OK,2,5,9585.83
5,MATCH (Q111)=[SHORTEST 10 WALKS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,76,OK,1,4,9585.83
6,MATCH (Q111)=[SHORTEST 10 WALKS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,75,OK,1,4,9585.83
7,MATCH (Q11629)=[SHORTEST 10 WALKS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,183,OK,205,208,9704.64
8,MATCH (Q118146)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,39,43,9722.64
9,MATCH (Q11941017)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,37,40,9734.64
10,MATCH (Q1236511)=[SHORTEST 10 WALKS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,170,OK,82,85,9768.64
11,MATCH (Q13442814)=[SHORTEST 10 WALKS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,15828.62
12,MATCH (Q1367808)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,38,41,15830.62
13,MATCH (Q1502481)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,72,75,15832.62
14,MATCH (Q1549583)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,15832.62
15,MATCH (Q15850691)=[SHORTEST 10 WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,15834.62
