query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,240,254,9528.61
2,MATCH (Q11193)=[SHORTEST 4 GROUPS TRAILS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,74,76,9580.77
3,MATCH (Q111)=[SHORTEST 4 GROUPS TRAILS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,36,39,9600.77
4,MATCH (Q111)=[SHORTEST 4 GROUPS TRAILS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,89,OK,3,6,9602.77
5,MATCH (Q111)=[SHORTEST 4 GROUPS TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,91,OK,1,3,9602.77
6,MATCH (Q111)=[SHORTEST 4 GROUPS TRAILS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,90,OK,1,3,9602.77
7,MATCH (Q11629)=[SHORTEST 4 GROUPS TRAILS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,176,OK,215,218,9719.12
8,MATCH (Q118146)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,39,42,9733.12
9,MATCH (Q11941017)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,38,40,9743.12
10,MATCH (Q1236511)=[SHORTEST 4 GROUPS TRAILS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,195,OK,57,61,9771.12
11,MATCH (Q13442814)=[SHORTEST 4 GROUPS TRAILS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,13278.41
12,MATCH (Q1367808)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,41,43,13280.41
13,MATCH (Q1502481)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,57,59,13282.41
14,MATCH (Q1549583)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,13282.41
15,MATCH (Q15850691)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,29,13284.41
16,MATCH (Q1625526)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,34,13284.41
17,MATCH (Q1628288)=[SHORTEST 4 GROUPS TRAILS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,15,17,13284.41
