query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
1,MATCH (Q10281806)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,222,241,9522.13
2,MATCH (Q11193)=[SHORTEST 4 GROUPS WALKS ?p (:P279)*]=>(?x1) RETURN ?p LIMIT 100000,29,OK,69,72,9570.29
3,MATCH (Q111)=[SHORTEST 4 GROUPS WALKS ?p ((((((:P31/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)/(:P279)?)]=>(?x1) RETURN ?p LIMIT 100000,25,OK,51,54,9586.29
4,MATCH (Q111)=[SHORTEST 4 GROUPS WALKS ?p ((:P31/:P279)/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,89,OK,2,4,9586.29
5,MATCH (Q111)=[SHORTEST 4 GROUPS WALKS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,91,OK,1,3,9586.29
6,MATCH (Q111)=[SHORTEST 4 GROUPS WALKS ?p (:P31/(:P279)+)]=>(?x1) RETURN ?p LIMIT 100000,90,OK,1,3,9586.29
7,MATCH (Q11629)=[SHORTEST 4 GROUPS WALKS ?p ((:P279/((:P279)*|(:P31)*))|(:P31/((:P279)*|(:P31)*)))]=>(?x1) RETURN ?p LIMIT 100000,180,OK,201,204,9694.64
8,MATCH (Q118146)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,39,42,9712.64
9,MATCH (Q11941017)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,46,48,9722.64
10,MATCH (Q1236511)=[SHORTEST 4 GROUPS WALKS ?p (:P31/(:P279)*)]=>(?x1) RETURN ?p LIMIT 100000,195,OK,69,72,9750.64
11,MATCH (Q13442814)=[SHORTEST 4 GROUPS WALKS ?p ^:P31]=>(?x1) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1,15410.89
12,MATCH (Q1367808)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,34,37,15410.89
13,MATCH (Q1502481)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,24,26,15412.89
14,MATCH (Q1549583)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,23,26,15412.89
15,MATCH (Q15850691)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,29,15414.89
16,MATCH (Q1625526)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,33,15414.89
17,MATCH (Q1628288)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,15,18,15414.89
18,MATCH (Q1637057)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,30,32,15416.89
19,MATCH (Q1644223)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,27,29,15416.89
20,MATCH (Q1651871)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,31,33,15418.89
21,MATCH (Q1656682)=[SHORTEST 4 GROUPS WALKS ?p ((:P279|:P31)/((:P279)*|(:P31)*))]=>(?x1) RETURN ?p LIMIT 100000,12,OK,48,50,15418.89
22,MATCH (Q1800276)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,36,38,15420.89
23,MATCH (Q18003161)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,28,30,15422.89
24,MATCH (Q185230)=[SHORTEST 4 GROUPS WALKS ?p (:P171)*]=>(?x1) RETURN ?p LIMIT 100000,689,OK,94,97,15424.89
25,MATCH (Q1971093)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,14,16,15424.89
26,MATCH (Q20202327)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,17,OK,38,40,15426.89
27,MATCH (Q20299171)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,26,28,15428.89
28,MATCH (Q20304516)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,8,OK,26,28,15430.89
29,MATCH (Q204756)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,1,4,15430.89
30,MATCH (Q217230)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,1,OK,1,3,15430.89
31,MATCH (Q21869377)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,31,33,15432.89
32,MATCH (Q2315249)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,3,OK,29,31,15432.89
33,MATCH (Q2321874)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,41,43,15434.89
34,MATCH (Q23794244)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,21,OK,15,18,15434.89
35,MATCH (Q23826203)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,29,32,15434.89
36,MATCH (Q24192592)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,24,26,15434.89
37,MATCH (Q257023)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,6,OK,10,13,15434.89
38,MATCH (Q25930719)=[SHORTEST 4 GROUPS WALKS ?p ((:P31|:P279))*]=>(?x1) RETURN ?p LIMIT 100000,2568,OK,1048,1051,15436.89
39,MATCH (Q28733563)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,40,43,15436.89
40,MATCH (Q28733587)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,9,OK,29,32,15436.89
41,MATCH (Q28733595)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,8,11,15436.89
42,MATCH (Q28733811)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,5,OK,10,13,15436.89
43,MATCH (Q28734638)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,22,24,15436.89
44,MATCH (Q28734951)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,33,36,15436.89
45,MATCH (Q28738934)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,32,35,15436.89
46,MATCH (Q28738935)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,15,18,15436.89
47,MATCH (Q28738964)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,7,OK,21,24,15436.89
48,MATCH (Q29018634)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,11,OK,36,39,15436.89
49,MATCH (Q29871816)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,39,42,15436.89
50,MATCH (Q29872961)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,11,14,15436.89
51,MATCH (Q29872979)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,7,10,15436.89
52,MATCH (Q29873614)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,24,27,15436.89
53,MATCH (Q29873624)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,15,18,15436.89
54,MATCH (Q29874692)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,5,7,15436.89
55,MATCH (Q29875500)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,19,22,15436.89
56,MATCH (Q29875661)=[SHORTEST 4 GROUPS WALKS ?p (:P131)*]=>(?x1) RETURN ?p LIMIT 100000,4,OK,9,12,15436.89
